,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,174,first,0,,,norm,shinv,
1,1,300,other,,1.0,3.0,norm,shinv,norm
2,2,417,other,,2.0,2.0,norm,shinv,norm
3,3,534,other,,3.0,1.0,norm,shinv,norm
4,4,653,other,,4.0,0.0,norm,shinv,norm
5,5,1476,first,4,,,shinv,norm,norm
6,6,1589,first,0,,,norm,inv,shinv
7,7,1717,other,,0.0,3.0,norm,inv,norm
8,8,1838,other,,1.0,2.0,norm,inv,norm
9,9,2403,other,,2.0,1.0,norm,inv,norm
10,10,2515,other,,3.0,0.0,norm,inv,norm
11,11,2632,first,4,,,inv,norm,norm
12,12,2762,other,,0.0,0.0,inv,norm,inv
13,13,3194,first,1,,,norm,shinv,inv
14,14,3309,other,,0.0,4.0,norm,shinv,norm
15,15,3415,other,,1.0,3.0,norm,shinv,norm
16,16,3527,other,,2.0,2.0,norm,shinv,norm
17,17,3909,other,,3.0,1.0,norm,shinv,norm
18,18,4028,other,,4.0,0.0,norm,shinv,norm
19,19,4138,first,5,,,shinv,norm,norm
20,20,4504,first,0,,,norm,inv,shinv
21,21,4625,other,,0.0,0.0,norm,inv,norm
22,22,4742,first,1,,,inv,shinv,norm
23,23,5182,other,,0.0,0.0,inv,shinv,inv
24,24,5530,first,1,,,shinv,inv,inv
25,25,5644,other,,0.0,1.0,shinv,inv,shinv
26,26,5746,other,,1.0,0.0,shinv,inv,shinv
27,27,5852,first,2,,,inv,norm,shinv
28,28,6053,other,,0.0,3.0,inv,norm,inv
29,29,6191,other,,1.0,2.0,inv,norm,inv
30,30,6296,other,,2.0,1.0,inv,norm,inv
31,31,6480,other,,3.0,0.0,inv,norm,inv
32,32,6593,first,4,,,norm,inv,inv
33,33,6867,first,0,,,inv,norm,norm
34,34,7065,other,,0.0,4.0,inv,norm,inv
35,35,7195,other,,1.0,3.0,inv,norm,inv
36,36,7309,other,,2.0,2.0,inv,norm,inv
37,37,7425,other,,3.0,1.0,inv,norm,inv
38,38,7549,other,,4.0,0.0,inv,norm,inv
39,39,7694,first,5,,,norm,shinv,inv
40,40,7830,other,,0.0,0.0,norm,shinv,norm
41,41,8754,first,1,,,shinv,inv,norm
42,42,8879,other,,0.0,5.0,inv,shinv,shinv
43,43,9008,other,,1.0,4.0,inv,shinv,inv
44,44,9446,other,,2.0,3.0,inv,shinv,inv
45,45,9588,other,,3.0,2.0,inv,shinv,inv
46,46,9725,other,,4.0,1.0,inv,shinv,inv
47,47,10048,other,,5.0,0.0,inv,shinv,inv
48,48,10295,first,6,,,shinv,inv,inv
49,49,10430,other,,0.0,0.0,shinv,inv,shinv
50,50,10815,first,1,,,inv,shinv,shinv
51,51,10947,other,,0.0,2.0,inv,shinv,inv
52,52,11073,other,,1.0,1.0,inv,shinv,inv
53,53,11211,other,,2.0,0.0,inv,shinv,inv
54,54,11371,first,3,,,shinv,inv,inv
55,55,11698,first,0,,,inv,shinv,shinv
56,56,11844,other,,0.0,7.0,inv,shinv,inv
57,57,11980,other,,1.0,6.0,inv,shinv,inv
58,58,12107,other,,2.0,5.0,inv,shinv,inv
59,59,12251,other,,3.0,4.0,inv,shinv,inv
60,60,12391,other,,4.0,3.0,inv,shinv,inv
61,61,13060,other,,5.0,2.0,inv,shinv,inv
62,62,13190,other,,6.0,1.0,inv,shinv,inv
63,63,13325,other,,7.0,0.0,inv,shinv,inv
64,64,13665,first,8,,,shinv,inv,inv
65,65,13808,other,,0.0,1.0,shinv,inv,shinv
66,66,13947,other,,1.0,0.0,shinv,inv,shinv
67,67,14094,first,2,,,inv,shinv,shinv
68,68,14395,other,,0.0,1.0,inv,shinv,inv
69,69,14512,other,,1.0,0.0,inv,shinv,inv
70,70,14636,first,2,,,shinv,inv,inv
71,71,14863,other,,0.0,2.0,shinv,inv,shinv
72,72,14991,other,,1.0,1.0,shinv,inv,shinv
73,73,15116,other,,2.0,0.0,shinv,inv,shinv
74,74,15898,first,3,,,inv,norm,shinv
75,75,16031,first,0,,,norm,inv,inv
76,76,16157,other,,0.0,2.0,inv,norm,norm
77,77,16670,other,,1.0,1.0,inv,norm,inv
78,78,16791,other,,2.0,0.0,inv,norm,inv
79,79,16922,first,3,,,norm,shinv,inv
80,80,17231,first,0,,,shinv,inv,norm
81,81,17362,other,,0.0,0.0,shinv,inv,shinv
82,82,17496,first,1,,,inv,shinv,shinv
83,83,17737,first,0,,,shinv,norm,inv
84,84,17842,other,,0.0,4.0,shinv,norm,shinv
85,85,17974,other,,1.0,3.0,shinv,norm,shinv
86,86,18448,other,,2.0,2.0,shinv,norm,shinv
87,87,18568,other,,3.0,1.0,shinv,norm,shinv
88,88,18674,other,,4.0,0.0,shinv,norm,shinv
89,89,18785,first,5,,,norm,shinv,shinv
90,90,18897,other,,0.0,3.0,norm,shinv,norm
91,91,19016,other,,1.0,2.0,norm,shinv,norm
92,92,19509,other,,2.0,1.0,norm,shinv,norm
93,93,19612,other,,3.0,0.0,norm,shinv,norm
94,94,19716,first,4,,,shinv,norm,norm
95,95,19962,other,,0.0,0.0,shinv,norm,shinv
96,96,20520,first,1,,,norm,inv,shinv
97,97,20902,other,,0.0,0.0,norm,inv,norm
98,98,21017,first,1,,,inv,shinv,norm
99,99,21128,other,,0.0,10.0,inv,shinv,inv
100,100,21241,other,,1.0,9.0,inv,shinv,inv
101,101,21652,other,,2.0,8.0,inv,shinv,inv
102,102,21763,other,,3.0,7.0,inv,shinv,inv
103,103,21868,other,,4.0,6.0,inv,shinv,inv
104,104,21977,other,,5.0,5.0,inv,shinv,inv
105,105,22753,other,,6.0,4.0,inv,shinv,inv
106,106,22859,other,,7.0,3.0,inv,shinv,inv
107,107,22970,other,,8.0,2.0,inv,shinv,inv
108,108,23079,other,,9.0,1.0,inv,shinv,inv
109,109,23193,other,,10.0,0.0,inv,shinv,inv
110,110,23309,first,11,,,shinv,inv,inv
111,111,23795,other,,0.0,2.0,shinv,inv,shinv
112,112,23899,other,,1.0,1.0,shinv,inv,shinv
113,113,24005,other,,2.0,0.0,shinv,inv,shinv
114,114,24106,first,3,,,inv,norm,shinv
115,115,24968,first,0,,,norm,inv,inv
116,116,25092,other,,0.0,1.0,inv,norm,norm
117,117,25205,other,,1.0,0.0,inv,norm,inv
118,118,25693,first,2,,,norm,shinv,inv
119,119,25815,other,,0.0,0.0,norm,shinv,norm
120,120,25925,first,1,,,shinv,inv,norm
121,121,26860,first,0,,,inv,shinv,shinv
122,122,26961,other,,0.0,1.0,shinv,norm,inv
