,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,157,first,0,,,norm,inv,
1,1,333,other,,1.0,2.0,norm,inv,norm
2,2,700,other,,2.0,1.0,norm,inv,norm
3,3,871,other,,3.0,0.0,norm,inv,norm
4,4,1254,first,3,,,inv,norm,norm
5,5,1444,first,0,,,norm,shinv,inv
6,6,1822,other,,0.0,3.0,norm,shinv,norm
7,7,1993,other,,1.0,2.0,norm,shinv,norm
8,8,2374,other,,2.0,1.0,norm,shinv,norm
9,9,2557,other,,3.0,0.0,norm,shinv,norm
10,10,2919,first,4,,,shinv,norm,norm
11,11,3097,other,,0.0,0.0,norm,inv,shinv
12,12,3454,first,1,,,inv,shinv,norm
13,13,3629,other,,0.0,0.0,inv,shinv,inv
14,14,3968,first,1,,,shinv,inv,inv
15,15,4140,other,,0.0,0.0,shinv,inv,shinv
16,16,4486,first,1,,,inv,norm,shinv
17,17,4654,other,,0.0,0.0,inv,norm,inv
18,18,4993,first,1,,,norm,inv,inv
19,19,5159,other,,0.0,0.0,norm,inv,norm
20,20,5487,first,1,,,inv,norm,norm
21,21,5646,other,,0.0,1.0,inv,norm,inv
22,22,5991,other,,1.0,0.0,inv,norm,inv
23,23,6158,first,2,,,norm,shinv,inv
24,24,6495,first,0,,,shinv,inv,norm
25,25,6665,first,0,,,inv,shinv,shinv
26,26,7008,other,,0.0,7.0,inv,shinv,inv
27,27,7173,other,,1.0,6.0,inv,shinv,inv
28,28,7507,other,,2.0,5.0,inv,shinv,inv
29,29,7675,other,,3.0,4.0,inv,shinv,inv
30,30,7999,other,,4.0,3.0,inv,shinv,inv
31,31,8156,other,,5.0,2.0,inv,shinv,inv
32,32,8481,other,,6.0,1.0,inv,shinv,inv
33,33,8633,other,,7.0,0.0,inv,shinv,inv
34,34,8939,first,8,,,shinv,inv,inv
35,35,9093,other,,0.0,0.0,shinv,inv,shinv
36,36,9423,first,1,,,inv,shinv,shinv
37,37,9575,other,,0.0,0.0,inv,shinv,inv
38,38,9944,first,1,,,shinv,inv,inv
39,39,10097,first,0,,,inv,shinv,shinv
40,40,10421,other,,0.0,7.0,inv,shinv,inv
41,41,10580,other,,1.0,6.0,inv,shinv,inv
42,42,10899,other,,2.0,5.0,inv,shinv,inv
43,43,11056,other,,3.0,4.0,inv,shinv,inv
44,44,11359,other,,4.0,3.0,inv,shinv,inv
45,45,11505,other,,5.0,2.0,inv,shinv,inv
46,46,11774,other,,6.0,1.0,inv,shinv,inv
47,47,11926,other,,7.0,0.0,inv,shinv,inv
48,48,12177,first,8,,,shinv,inv,inv
49,49,12321,other,,0.0,0.0,shinv,inv,shinv
50,50,12633,first,1,,,inv,shinv,shinv
51,51,12810,other,,0.0,0.0,inv,shinv,inv
52,52,13150,first,1,,,shinv,inv,inv
53,53,13323,other,,0.0,2.0,shinv,inv,shinv
54,54,13646,other,,1.0,1.0,shinv,inv,shinv
55,55,13817,other,,2.0,0.0,shinv,inv,shinv
56,56,14157,first,3,,,inv,norm,shinv
57,57,14325,first,0,,,norm,inv,inv
58,58,14627,first,0,,,inv,norm,norm
59,59,14793,other,,0.0,2.0,inv,norm,inv
60,60,15109,other,,1.0,1.0,inv,norm,inv
61,61,15269,other,,2.0,0.0,inv,norm,inv
62,62,15562,first,3,,,norm,shinv,inv
63,63,15718,first,0,,,shinv,inv,norm
64,64,16018,first,0,,,inv,shinv,shinv
65,65,16172,first,0,,,shinv,norm,inv
66,66,16468,other,,0.0,3.0,shinv,norm,shinv
67,67,16621,other,,1.0,2.0,shinv,norm,shinv
68,68,16876,other,,2.0,1.0,shinv,norm,shinv
69,69,17036,other,,3.0,0.0,shinv,norm,shinv
70,70,17341,first,4,,,norm,shinv,shinv
71,71,17495,other,,0.0,2.0,norm,shinv,norm
72,72,17848,other,,1.0,1.0,norm,shinv,norm
73,73,18020,other,,2.0,0.0,norm,shinv,norm
74,74,18344,first,3,,,shinv,norm,norm
75,75,18511,first,0,,,norm,inv,shinv
76,76,18828,other,,0.0,2.0,norm,inv,norm
77,77,18993,other,,1.0,1.0,norm,inv,norm
78,78,19316,other,,2.0,0.0,norm,inv,norm
79,79,19470,first,3,,,inv,shinv,norm
80,80,19620,other,,0.0,9.0,inv,shinv,inv
81,81,19927,other,,1.0,8.0,inv,shinv,inv
82,82,20071,other,,2.0,7.0,inv,shinv,inv
83,83,20373,other,,3.0,6.0,inv,shinv,inv
84,84,20522,other,,4.0,5.0,inv,shinv,inv
85,85,20818,other,,5.0,4.0,inv,shinv,inv
86,86,20966,other,,6.0,3.0,inv,shinv,inv
87,87,21279,other,,7.0,2.0,inv,shinv,inv
88,88,21426,other,,8.0,1.0,inv,shinv,inv
89,89,21725,other,,9.0,0.0,inv,shinv,inv
90,90,21871,first,10,,,shinv,inv,inv
91,91,22166,other,,0.0,1.0,shinv,inv,shinv
92,92,22309,other,,1.0,0.0,shinv,inv,shinv
93,93,22599,first,2,,,inv,norm,shinv
94,94,22749,other,,0.0,0.0,inv,norm,inv
95,95,23052,first,1,,,norm,inv,inv
96,96,23197,first,0,,,inv,norm,norm
97,97,23481,other,,0.0,3.0,inv,norm,inv
98,98,23628,other,,1.0,2.0,inv,norm,inv
99,99,23912,other,,2.0,1.0,inv,norm,inv
100,100,24057,other,,3.0,0.0,inv,norm,inv
101,101,24340,first,4,,,norm,shinv,inv
102,102,24483,other,,0.0,0.0,shinv,inv,norm
103,103,24784,first,1,,,inv,shinv,shinv
104,104,24929,first,0,,,shinv,norm,inv
