,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,112,first,0,,,norm,shinv,
1,1,296,other,,1.0,7.0,norm,shinv,norm
2,2,398,other,,2.0,6.0,norm,shinv,norm
3,3,504,other,,3.0,5.0,norm,shinv,norm
4,4,606,other,,4.0,4.0,norm,shinv,norm
5,5,832,other,,5.0,3.0,norm,shinv,norm
6,6,934,other,,6.0,2.0,norm,shinv,norm
7,7,1035,other,,7.0,1.0,norm,shinv,norm
8,8,1137,other,,8.0,0.0,norm,shinv,norm
9,9,1312,first,8,,,shinv,norm,norm
10,10,1418,other,,0.0,1.0,shinv,norm,shinv
11,11,1522,other,,1.0,0.0,shinv,norm,shinv
12,12,1628,first,2,,,norm,inv,shinv
13,13,1850,other,,0.0,5.0,norm,inv,norm
14,14,1956,other,,1.0,4.0,norm,inv,norm
15,15,2059,other,,2.0,3.0,norm,inv,norm
16,16,2164,other,,3.0,2.0,norm,inv,norm
17,17,2442,other,,4.0,1.0,norm,inv,norm
18,18,2549,other,,5.0,0.0,norm,inv,norm
19,19,2655,first,6,,,inv,norm,norm
20,20,2758,other,,0.0,0.0,inv,norm,inv
21,21,3023,first,1,,,norm,shinv,inv
22,22,3128,other,,0.0,6.0,norm,shinv,norm
23,23,3230,other,,1.0,5.0,norm,shinv,norm
24,24,3336,other,,2.0,4.0,norm,shinv,norm
25,25,3559,other,,3.0,3.0,norm,shinv,norm
26,26,3663,other,,4.0,2.0,norm,shinv,norm
27,27,3764,other,,5.0,1.0,norm,shinv,norm
28,28,3866,other,,6.0,0.0,norm,shinv,norm
29,29,4123,first,7,,,shinv,norm,norm
30,30,4225,other,,0.0,1.0,shinv,norm,shinv
31,31,4328,other,,1.0,0.0,shinv,norm,shinv
32,32,4433,first,2,,,norm,inv,shinv
33,33,4717,other,,0.0,0.0,norm,inv,norm
34,34,4823,first,1,,,inv,shinv,norm
35,35,4933,other,,0.0,4.0,inv,shinv,inv
36,36,5034,other,,1.0,3.0,inv,shinv,inv
37,37,5262,other,,2.0,2.0,inv,shinv,inv
38,38,5363,other,,3.0,1.0,inv,shinv,inv
39,39,5465,other,,4.0,0.0,inv,shinv,inv
40,40,5568,first,5,,,shinv,inv,inv
41,41,5846,first,0,,,inv,norm,shinv
42,42,5947,other,,0.0,4.0,inv,norm,inv
43,43,6049,other,,1.0,3.0,inv,norm,inv
44,44,6153,other,,2.0,2.0,inv,norm,inv
45,45,6356,other,,3.0,1.0,inv,norm,inv
46,46,6459,other,,4.0,0.0,inv,norm,inv
47,47,6563,first,5,,,norm,inv,inv
48,48,6668,other,,0.0,0.0,norm,inv,norm
49,49,6863,first,1,,,inv,norm,norm
50,50,6968,other,,0.0,6.0,inv,norm,inv
51,51,7069,other,,1.0,5.0,inv,norm,inv
52,52,7172,other,,2.0,4.0,inv,norm,inv
53,53,7355,other,,3.0,3.0,inv,norm,inv
54,54,7457,other,,4.0,2.0,inv,norm,inv
55,55,7558,other,,5.0,1.0,inv,norm,inv
56,56,7659,other,,6.0,0.0,inv,norm,inv
57,57,7854,first,7,,,norm,shinv,inv
58,58,7956,first,0,,,shinv,inv,norm
59,59,8059,other,,0.0,1.0,shinv,inv,shinv
60,60,8161,other,,1.0,0.0,shinv,inv,shinv
61,61,8335,first,2,,,inv,shinv,shinv
62,62,8439,other,,0.0,14.0,inv,shinv,inv
63,63,8542,other,,1.0,13.0,inv,shinv,inv
64,64,8643,other,,2.0,12.0,inv,shinv,inv
65,65,8864,other,,3.0,11.0,inv,shinv,inv
66,66,8966,other,,4.0,10.0,inv,shinv,inv
67,67,9072,other,,5.0,9.0,inv,shinv,inv
68,68,9179,other,,6.0,8.0,inv,shinv,inv
69,69,9353,other,,7.0,7.0,inv,shinv,inv
70,70,9456,other,,8.0,6.0,inv,shinv,inv
71,71,9562,other,,9.0,5.0,inv,shinv,inv
72,72,9669,other,,10.0,4.0,inv,shinv,inv
73,73,9908,other,,11.0,3.0,inv,shinv,inv
74,74,10009,other,,12.0,2.0,inv,shinv,inv
75,75,10110,other,,13.0,1.0,inv,shinv,inv
76,76,10211,other,,14.0,0.0,inv,shinv,inv
77,77,10389,first,15,,,shinv,inv,inv
78,78,10492,other,,0.0,2.0,shinv,inv,shinv
79,79,10593,other,,1.0,1.0,shinv,inv,shinv
80,80,10697,other,,2.0,0.0,shinv,inv,shinv
81,81,10874,first,3,,,inv,shinv,shinv
82,82,10978,other,,0.0,2.0,inv,shinv,inv
83,83,11080,other,,1.0,1.0,inv,shinv,inv
84,84,11182,other,,2.0,0.0,inv,shinv,inv
85,85,11365,first,3,,,shinv,inv,inv
86,86,11468,other,,0.0,0.0,shinv,inv,shinv
87,87,11580,first,1,,,inv,shinv,shinv
88,88,11681,other,,0.0,15.0,inv,shinv,inv
89,89,11859,other,,1.0,14.0,inv,shinv,inv
90,90,11964,other,,2.0,13.0,inv,shinv,inv
91,91,12067,other,,3.0,12.0,inv,shinv,inv
92,92,12168,other,,4.0,11.0,inv,shinv,inv
93,93,12310,other,,5.0,10.0,inv,shinv,inv
94,94,12415,other,,6.0,9.0,inv,shinv,inv
95,95,12521,other,,7.0,8.0,inv,shinv,inv
96,96,12622,other,,8.0,7.0,inv,shinv,inv
97,97,12793,other,,9.0,6.0,inv,shinv,inv
98,98,12894,other,,10.0,5.0,inv,shinv,inv
99,99,12996,other,,11.0,4.0,inv,shinv,inv
100,100,13100,other,,12.0,3.0,inv,shinv,inv
101,101,13278,other,,13.0,2.0,inv,shinv,inv
102,102,13385,other,,14.0,1.0,inv,shinv,inv
103,103,13488,other,,15.0,0.0,inv,shinv,inv
104,104,13767,first,16,,,shinv,inv,inv
105,105,13870,other,,0.0,1.0,shinv,inv,shinv
106,106,13975,other,,1.0,0.0,shinv,inv,shinv
107,107,14081,first,2,,,inv,shinv,shinv
108,108,14264,other,,0.0,3.0,inv,shinv,inv
109,109,14366,other,,1.0,2.0,inv,shinv,inv
110,110,14469,other,,2.0,1.0,inv,shinv,inv
111,111,14570,other,,3.0,0.0,inv,shinv,inv
112,112,14759,first,4,,,shinv,inv,inv
113,113,14864,other,,0.0,4.0,shinv,inv,shinv
114,114,14968,other,,1.0,3.0,shinv,inv,shinv
115,115,15072,other,,2.0,2.0,shinv,inv,shinv
116,116,15220,other,,3.0,1.0,shinv,inv,shinv
117,117,15322,other,,4.0,0.0,shinv,inv,shinv
118,118,15423,first,5,,,inv,norm,shinv
119,119,15525,other,,0.0,1.0,inv,norm,inv
120,120,15711,other,,1.0,0.0,inv,norm,inv
121,121,15816,first,2,,,norm,inv,inv
122,122,15919,other,,0.0,0.0,norm,inv,norm
123,123,16024,first,1,,,inv,norm,norm
124,124,16175,other,,0.0,6.0,inv,norm,inv
125,125,16280,other,,1.0,5.0,inv,norm,inv
126,126,16381,other,,2.0,4.0,inv,norm,inv
127,127,16483,other,,3.0,3.0,inv,norm,inv
128,128,16625,other,,4.0,2.0,inv,norm,inv
129,129,16727,other,,5.0,1.0,inv,norm,inv
130,130,16831,other,,6.0,0.0,inv,norm,inv
131,131,16932,first,7,,,norm,shinv,inv
132,132,17077,other,,0.0,0.0,norm,shinv,norm
133,133,17180,first,1,,,shinv,inv,norm
134,134,17282,other,,0.0,1.0,shinv,inv,shinv
135,135,17387,other,,1.0,0.0,shinv,inv,shinv
136,136,17575,first,2,,,inv,shinv,shinv
137,137,17680,first,0,,,shinv,norm,inv
138,138,17786,other,,0.0,7.0,shinv,norm,shinv
139,139,17893,other,,1.0,6.0,shinv,norm,shinv
140,140,18016,other,,2.0,5.0,shinv,norm,shinv
141,141,18122,other,,3.0,4.0,shinv,norm,shinv
142,142,18228,other,,4.0,3.0,shinv,norm,shinv
143,143,18332,other,,5.0,2.0,shinv,norm,shinv
144,144,18500,other,,6.0,1.0,shinv,norm,shinv
145,145,18603,other,,7.0,0.0,shinv,norm,shinv
146,146,18712,first,8,,,norm,shinv,shinv
147,147,18815,other,,0.0,7.0,norm,shinv,norm
148,148,18942,other,,1.0,6.0,norm,shinv,norm
149,149,19046,other,,2.0,5.0,norm,shinv,norm
150,150,19153,other,,3.0,4.0,norm,shinv,norm
151,151,19257,other,,4.0,3.0,norm,shinv,norm
152,152,19398,other,,5.0,2.0,norm,shinv,norm
153,153,19504,other,,6.0,1.0,norm,shinv,norm
154,154,19609,other,,7.0,0.0,norm,shinv,norm
155,155,19714,first,8,,,shinv,norm,norm
156,156,19816,other,,0.0,1.0,shinv,norm,shinv
157,157,19923,other,,1.0,0.0,shinv,norm,shinv
158,158,20024,first,2,,,norm,inv,shinv
159,159,20125,other,,0.0,7.0,norm,inv,norm
160,160,20273,other,,1.0,6.0,norm,inv,norm
161,161,20379,other,,2.0,5.0,norm,inv,norm
162,162,20482,other,,3.0,4.0,norm,inv,norm
