,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,147,first,0,,,norm,shinv,
1,1,275,other,,1.0,5.0,norm,shinv,norm
2,2,390,other,,2.0,4.0,norm,shinv,norm
3,3,918,other,,3.0,3.0,norm,shinv,norm
4,4,1040,other,,4.0,2.0,norm,shinv,norm
5,5,1154,other,,5.0,1.0,norm,shinv,norm
6,6,1273,other,,6.0,0.0,norm,shinv,norm
7,7,1710,first,6,,,shinv,norm,norm
8,8,1850,other,,0.0,3.0,norm,inv,shinv
9,9,1969,other,,1.0,2.0,norm,inv,norm
10,10,2081,other,,2.0,1.0,norm,inv,norm
11,11,2509,other,,3.0,0.0,norm,inv,norm
12,12,2635,first,4,,,inv,norm,norm
13,13,2737,other,,0.0,0.0,inv,norm,inv
14,14,2860,first,1,,,norm,shinv,inv
15,15,3360,other,,0.0,3.0,norm,shinv,norm
16,16,3461,other,,1.0,2.0,norm,shinv,norm
17,17,3574,other,,2.0,1.0,norm,shinv,norm
18,18,3683,other,,3.0,0.0,norm,shinv,norm
19,19,4152,first,4,,,shinv,norm,norm
20,20,4257,other,,0.0,0.0,shinv,norm,shinv
21,21,4365,first,1,,,norm,inv,shinv
22,22,5142,first,0,,,inv,shinv,norm
23,23,5261,other,,0.0,1.0,inv,shinv,inv
24,24,5374,other,,1.0,0.0,inv,shinv,inv
25,25,5920,first,2,,,shinv,inv,inv
26,26,6037,other,,0.0,2.0,inv,norm,shinv
27,27,6151,other,,1.0,1.0,inv,norm,inv
28,28,6255,other,,2.0,0.0,inv,norm,inv
29,29,6594,first,3,,,norm,inv,inv
30,30,6725,other,,0.0,0.0,norm,inv,norm
31,31,6838,first,1,,,inv,norm,norm
32,32,6949,other,,0.0,3.0,inv,norm,inv
33,33,7256,other,,1.0,2.0,inv,norm,inv
34,34,7380,other,,2.0,1.0,inv,norm,inv
35,35,7571,other,,3.0,0.0,inv,norm,inv
36,36,7859,first,4,,,norm,shinv,inv
37,37,7975,first,0,,,shinv,inv,norm
38,38,8104,other,,0.0,0.0,shinv,inv,shinv
39,39,8206,first,1,,,inv,shinv,shinv
40,40,8428,other,,0.0,12.0,inv,shinv,inv
41,41,8540,other,,1.0,11.0,inv,shinv,inv
42,42,8653,other,,2.0,10.0,inv,shinv,inv
43,43,8761,other,,3.0,9.0,inv,shinv,inv
44,44,9039,other,,4.0,8.0,inv,shinv,inv
45,45,9155,other,,5.0,7.0,inv,shinv,inv
46,46,9260,other,,6.0,6.0,inv,shinv,inv
47,47,9365,other,,7.0,5.0,inv,shinv,inv
48,48,9623,other,,8.0,4.0,inv,shinv,inv
49,49,9736,other,,9.0,3.0,inv,shinv,inv
50,50,9866,other,,10.0,2.0,inv,shinv,inv
51,51,9975,other,,11.0,1.0,inv,shinv,inv
52,52,10208,other,,12.0,0.0,inv,shinv,inv
53,53,10328,first,13,,,shinv,inv,inv
54,54,10520,other,,0.0,0.0,shinv,inv,shinv
55,55,10850,first,1,,,inv,shinv,shinv
56,56,10971,other,,0.0,1.0,inv,shinv,inv
57,57,11090,other,,1.0,0.0,inv,shinv,inv
58,58,11274,first,2,,,shinv,inv,inv
59,59,11568,first,0,,,inv,shinv,shinv
60,60,11733,other,,0.0,9.0,inv,shinv,inv
61,61,11864,other,,1.0,8.0,inv,shinv,inv
62,62,11974,other,,2.0,7.0,inv,shinv,inv
63,63,12347,other,,3.0,6.0,inv,shinv,inv
64,64,12561,other,,4.0,5.0,inv,shinv,inv
65,65,12766,other,,5.0,4.0,inv,shinv,inv
66,66,13064,other,,6.0,3.0,inv,shinv,inv
67,67,13179,other,,7.0,2.0,inv,shinv,inv
68,68,13294,other,,8.0,1.0,inv,shinv,inv
69,69,13408,other,,9.0,0.0,inv,shinv,inv
70,70,13720,first,10,,,shinv,inv,inv
71,71,13856,other,,0.0,1.0,shinv,inv,shinv
72,72,13973,other,,1.0,0.0,shinv,inv,shinv
73,73,14086,first,2,,,inv,shinv,shinv
74,74,14683,first,0,,,shinv,inv,inv
75,75,14891,other,,0.0,1.0,shinv,inv,shinv
76,76,15003,other,,1.0,0.0,shinv,inv,shinv
77,77,15538,first,2,,,inv,norm,shinv
78,78,15675,other,,0.0,0.0,inv,norm,inv
79,79,15792,first,1,,,norm,inv,inv
80,80,15959,other,,0.0,0.0,norm,inv,norm
81,81,16332,first,1,,,inv,norm,norm
82,82,16667,other,,0.0,1.0,inv,norm,inv
83,83,16780,other,,1.0,0.0,inv,norm,inv
84,84,17032,first,2,,,norm,shinv,inv
85,85,17135,other,,0.0,0.0,norm,shinv,norm
86,86,17334,first,1,,,shinv,inv,norm
87,87,17745,first,0,,,inv,shinv,shinv
88,88,17952,other,,0.0,5.0,shinv,norm,inv
89,89,18054,other,,1.0,4.0,shinv,norm,shinv
90,90,18331,other,,2.0,3.0,shinv,norm,shinv
91,91,18435,other,,3.0,2.0,shinv,norm,shinv
92,92,18546,other,,4.0,1.0,shinv,norm,shinv
93,93,18654,other,,5.0,0.0,shinv,norm,shinv
94,94,18850,first,6,,,norm,shinv,shinv
95,95,18957,other,,0.0,3.0,norm,shinv,norm
96,96,19075,other,,1.0,2.0,norm,shinv,norm
97,97,19182,other,,2.0,1.0,norm,shinv,norm
98,98,19285,other,,3.0,0.0,norm,shinv,norm
99,99,20033,first,4,,,shinv,norm,norm
100,100,20138,other,,0.0,3.0,norm,inv,shinv
101,101,20242,other,,1.0,2.0,norm,inv,norm
102,102,20716,other,,2.0,1.0,norm,inv,norm
103,103,20928,other,,3.0,0.0,norm,inv,norm
104,104,21037,first,4,,,inv,shinv,norm
105,105,21484,other,,0.0,10.0,inv,shinv,inv
106,106,21588,other,,1.0,9.0,inv,shinv,inv
107,107,21700,other,,2.0,8.0,inv,shinv,inv
108,108,22232,other,,3.0,7.0,inv,shinv,inv
109,109,22343,other,,4.0,6.0,inv,shinv,inv
110,110,22460,other,,5.0,5.0,inv,shinv,inv
111,111,22572,other,,6.0,4.0,inv,shinv,inv
112,112,22925,other,,7.0,3.0,inv,shinv,inv
113,113,23038,other,,8.0,2.0,inv,shinv,inv
114,114,23149,other,,9.0,1.0,inv,shinv,inv
115,115,23258,other,,10.0,0.0,inv,shinv,inv
116,116,23602,first,11,,,shinv,inv,inv
117,117,23705,other,,0.0,2.0,shinv,inv,shinv
118,118,23811,other,,1.0,1.0,shinv,inv,shinv
119,119,23918,other,,2.0,0.0,shinv,inv,shinv
120,120,24259,first,3,,,inv,norm,shinv
121,121,24465,first,0,,,norm,inv,inv
122,122,25103,first,0,,,inv,norm,norm
123,123,25216,other,,0.0,2.0,inv,norm,inv
124,124,25327,other,,1.0,1.0,inv,norm,inv
125,125,25432,other,,2.0,0.0,inv,norm,inv
126,126,25834,first,3,,,norm,shinv,inv
127,127,25946,first,0,,,shinv,inv,norm
128,128,26068,other,,0.0,0.0,shinv,inv,shinv
129,129,26181,first,1,,,inv,shinv,shinv
130,130,26721,first,0,,,shinv,norm,inv
131,131,26835,other,,0.0,2.0,shinv,norm,shinv
132,132,26945,other,,1.0,1.0,shinv,norm,shinv
133,133,27050,other,,2.0,0.0,shinv,norm,shinv
134,134,27844,first,3,,,norm,shinv,shinv
135,135,27974,other,,0.0,2.0,norm,shinv,norm
136,136,28089,other,,1.0,1.0,norm,shinv,norm
137,137,28198,other,,2.0,0.0,norm,shinv,norm
138,138,28815,first,3,,,shinv,norm,norm
139,139,28927,other,,0.0,2.0,norm,inv,shinv
140,140,29037,other,,1.0,1.0,norm,inv,norm
141,141,29140,other,,2.0,0.0,norm,inv,norm
142,142,29723,first,3,,,inv,norm,norm
143,143,29840,other,,0.0,13.0,inv,norm,inv
144,144,29962,other,,1.0,12.0,inv,norm,inv
145,145,30072,other,,2.0,11.0,inv,norm,inv
146,146,30550,other,,3.0,10.0,inv,norm,inv
147,147,30668,other,,4.0,9.0,inv,norm,inv
148,148,30878,other,,5.0,8.0,inv,norm,inv
149,149,31262,other,,6.0,7.0,inv,norm,inv
150,150,31393,other,,7.0,6.0,inv,norm,inv
151,151,31510,other,,8.0,5.0,inv,norm,inv
152,152,31627,other,,9.0,4.0,inv,norm,inv
153,153,32400,other,,10.0,3.0,inv,norm,inv
154,154,32538,other,,11.0,2.0,inv,norm,inv
155,155,32668,other,,12.0,1.0,inv,norm,inv
156,156,32790,other,,13.0,0.0,inv,norm,inv
157,157,33401,first,14,,,norm,inv,inv
158,158,33529,first,0,,,inv,norm,norm
159,159,33670,other,,0.0,2.0,inv,norm,inv
160,160,33780,other,,1.0,1.0,inv,norm,inv
161,161,34193,other,,2.0,0.0,inv,norm,inv
162,162,34307,first,3,,,norm,shinv,inv
163,163,34427,other,,0.0,1.0,norm,shinv,norm
164,164,34534,other,,1.0,0.0,norm,shinv,norm
165,165,35006,first,2,,,shinv,shinv,norm
166,166,35126,other,,0.0,9.0,shinv,shinv,shinv
167,167,35231,other,,1.0,8.0,shinv,shinv,shinv
168,168,35337,other,,2.0,7.0,shinv,shinv,shinv
169,169,35854,other,,3.0,6.0,shinv,shinv,shinv
170,170,35960,other,,4.0,5.0,shinv,shinv,shinv
171,171,36073,other,,5.0,4.0,shinv,shinv,shinv
172,172,36182,other,,6.0,3.0,shinv,shinv,shinv
173,173,36562,other,,7.0,2.0,shinv,shinv,shinv
174,174,36685,other,,8.0,1.0,shinv,shinv,shinv
175,175,36801,other,,9.0,0.0,shinv,shinv,shinv
176,176,36929,first,10,,,shinv,inv,shinv
177,177,37261,other,,0.0,1.0,shinv,inv,shinv
178,178,37367,other,,1.0,0.0,shinv,inv,shinv
179,179,37545,first,2,,,inv,shinv,shinv
180,180,38054,first,0,,,shinv,inv,inv
181,181,38200,first,0,,,inv,shinv,shinv
182,182,38314,other,,0.0,8.0,inv,shinv,inv
183,183,38427,other,,1.0,7.0,inv,shinv,inv
184,184,38932,other,,2.0,6.0,inv,shinv,inv
185,185,39049,other,,3.0,5.0,inv,shinv,inv
186,186,39165,other,,4.0,4.0,inv,shinv,inv
187,187,39291,other,,5.0,3.0,inv,shinv,inv
188,188,39936,other,,6.0,2.0,inv,shinv,inv
189,189,40041,other,,7.0,1.0,inv,shinv,inv
190,190,40156,other,,8.0,0.0,inv,shinv,inv
191,191,40268,first,9,,,shinv,inv,inv
192,192,40951,first,0,,,inv,norm,shinv
193,193,41084,other,,0.0,12.0,inv,norm,inv
194,194,41192,other,,1.0,11.0,inv,norm,inv
195,195,41310,other,,2.0,10.0,inv,norm,inv
196,196,41754,other,,3.0,9.0,inv,norm,inv
197,197,41867,other,,4.0,8.0,inv,norm,inv
198,198,41987,other,,5.0,7.0,inv,norm,inv
199,199,42109,other,,6.0,6.0,inv,norm,inv
200,200,42707,other,,7.0,5.0,inv,norm,inv
201,201,42827,other,,8.0,4.0,inv,norm,inv
202,202,42929,other,,9.0,3.0,inv,norm,inv
203,203,43046,other,,10.0,2.0,inv,norm,inv
204,204,43584,other,,11.0,1.0,inv,norm,inv
