,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,130,first,0,,,norm,shinv,
1,1,237,other,,1.0,5.0,norm,shinv,norm
2,2,347,other,,2.0,4.0,norm,shinv,norm
3,3,701,other,,3.0,3.0,norm,shinv,norm
4,4,807,other,,4.0,2.0,norm,shinv,norm
5,5,912,other,,5.0,1.0,norm,shinv,norm
6,6,1015,other,,6.0,0.0,norm,shinv,norm
7,7,1340,first,6,,,shinv,norm,norm
8,8,1447,other,,0.0,0.0,shinv,norm,shinv
9,9,1655,first,1,,,norm,inv,shinv
10,10,1904,other,,0.0,4.0,norm,inv,norm
11,11,2011,other,,1.0,3.0,norm,inv,norm
12,12,2125,other,,2.0,2.0,norm,inv,norm
13,13,2229,other,,3.0,1.0,norm,inv,norm
14,14,2457,other,,4.0,0.0,norm,inv,norm
15,15,2560,first,5,,,inv,norm,norm
16,16,2664,other,,0.0,0.0,inv,norm,inv
17,17,2999,first,1,,,norm,shinv,inv
18,18,3100,other,,0.0,5.0,norm,shinv,norm
19,19,3285,other,,1.0,4.0,norm,shinv,norm
20,20,3508,other,,2.0,3.0,norm,shinv,norm
21,21,3613,other,,3.0,2.0,norm,shinv,norm
22,22,3714,other,,4.0,1.0,norm,shinv,norm
23,23,4057,other,,5.0,0.0,norm,shinv,norm
24,24,4168,first,6,,,shinv,norm,norm
25,25,4370,first,0,,,norm,inv,shinv
26,26,4640,other,,0.0,0.0,norm,inv,norm
27,27,4850,first,1,,,inv,shinv,norm
28,28,4952,other,,0.0,3.0,inv,shinv,inv
29,29,5183,other,,1.0,2.0,inv,shinv,inv
30,30,5287,other,,2.0,1.0,inv,shinv,inv
31,31,5479,other,,3.0,0.0,inv,shinv,inv
32,32,5706,first,4,,,shinv,inv,inv
33,33,5810,first,0,,,inv,norm,shinv
34,34,6006,other,,0.0,2.0,inv,norm,inv
35,35,6213,other,,1.0,1.0,inv,norm,inv
36,36,6406,other,,2.0,0.0,inv,norm,inv
37,37,6747,first,3,,,norm,inv,inv
38,38,6936,first,0,,,inv,norm,norm
39,39,7232,other,,0.0,1.0,inv,norm,inv
40,40,7419,other,,1.0,0.0,inv,norm,inv
41,41,7722,first,2,,,norm,shinv,inv
42,42,7904,other,,0.0,0.0,norm,shinv,norm
43,43,8195,first,1,,,shinv,inv,norm
44,44,8296,other,,0.0,9.0,inv,shinv,shinv
45,45,8467,other,,1.0,8.0,inv,shinv,inv
46,46,8676,other,,2.0,7.0,inv,shinv,inv
47,47,8777,other,,3.0,6.0,inv,shinv,inv
48,48,8938,other,,4.0,5.0,inv,shinv,inv
49,49,9139,other,,5.0,4.0,inv,shinv,inv
50,50,9318,other,,6.0,3.0,inv,shinv,inv
51,51,9658,other,,7.0,2.0,inv,shinv,inv
52,52,9844,other,,8.0,1.0,inv,shinv,inv
53,53,10164,other,,9.0,0.0,inv,shinv,inv
54,54,10374,first,10,,,shinv,inv,inv
55,55,10661,other,,0.0,0.0,shinv,inv,shinv
56,56,10762,first,1,,,inv,shinv,shinv
57,57,10934,other,,0.0,1.0,inv,shinv,inv
58,58,11171,other,,1.0,0.0,inv,shinv,inv
59,59,11276,first,2,,,shinv,inv,inv
60,60,11384,other,,0.0,1.0,shinv,inv,shinv
61,61,11492,other,,1.0,0.0,shinv,inv,shinv
62,62,11716,first,2,,,inv,shinv,shinv
63,63,11906,other,,0.0,7.0,inv,shinv,inv
64,64,12214,other,,1.0,6.0,inv,shinv,inv
65,65,12323,other,,2.0,5.0,inv,shinv,inv
66,66,12501,other,,3.0,4.0,inv,shinv,inv
67,67,12789,other,,4.0,3.0,inv,shinv,inv
68,68,12971,other,,5.0,2.0,inv,shinv,inv
69,69,13209,other,,6.0,1.0,inv,shinv,inv
70,70,13385,other,,7.0,0.0,inv,shinv,inv
