,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,183,first,0,,,norm,shinv,
1,1,295,other,,1.0,6.0,norm,shinv,norm
2,2,407,other,,2.0,5.0,norm,shinv,norm
3,3,526,other,,3.0,4.0,norm,shinv,norm
4,4,832,other,,4.0,3.0,norm,shinv,norm
5,5,946,other,,5.0,2.0,norm,shinv,norm
6,6,1058,other,,6.0,1.0,norm,shinv,norm
7,7,1175,other,,7.0,0.0,norm,shinv,norm
8,8,1489,first,7,,,shinv,norm,norm
9,9,1599,first,0,,,norm,inv,shinv
10,10,1713,other,,0.0,5.0,norm,inv,norm
11,11,1835,other,,1.0,4.0,norm,inv,norm
12,12,2161,other,,2.0,3.0,norm,inv,norm
13,13,2280,other,,3.0,2.0,norm,inv,norm
14,14,2401,other,,4.0,1.0,norm,inv,norm
15,15,2532,other,,5.0,0.0,norm,inv,norm
16,16,2863,first,6,,,inv,norm,norm
17,17,2977,other,,0.0,5.0,norm,shinv,inv
18,18,3089,other,,1.0,4.0,norm,shinv,norm
19,19,3210,other,,2.0,3.0,norm,shinv,norm
20,20,3534,other,,3.0,2.0,norm,shinv,norm
21,21,3652,other,,4.0,1.0,norm,shinv,norm
22,22,3909,other,,5.0,0.0,norm,shinv,norm
23,23,4232,first,6,,,shinv,norm,norm
24,24,4350,other,,0.0,0.0,shinv,norm,shinv
25,25,4468,first,1,,,norm,inv,shinv
26,26,4591,other,,0.0,0.0,norm,inv,norm
27,27,4906,first,1,,,inv,shinv,norm
28,28,5020,other,,0.0,2.0,inv,shinv,inv
29,29,5145,other,,1.0,1.0,inv,shinv,inv
30,30,5265,other,,2.0,0.0,inv,shinv,inv
31,31,5599,first,3,,,shinv,inv,inv
32,32,5716,other,,0.0,0.0,shinv,inv,shinv
33,33,5962,first,1,,,inv,norm,shinv
34,34,6280,other,,0.0,2.0,inv,norm,inv
35,35,6395,other,,1.0,1.0,inv,norm,inv
36,36,6511,other,,2.0,0.0,inv,norm,inv
37,37,6634,first,3,,,norm,inv,inv
38,38,6973,first,0,,,inv,norm,norm
39,39,7096,other,,0.0,2.0,inv,norm,inv
40,40,7218,other,,1.0,1.0,inv,norm,inv
41,41,7346,other,,2.0,0.0,inv,norm,inv
42,42,7682,first,3,,,norm,shinv,inv
43,43,7823,other,,0.0,0.0,norm,shinv,norm
44,44,7956,first,1,,,shinv,inv,norm
45,45,8101,other,,0.0,0.0,shinv,inv,shinv
46,46,8459,first,1,,,inv,shinv,shinv
47,47,8575,other,,0.0,9.0,inv,shinv,inv
48,48,8695,other,,1.0,8.0,inv,shinv,inv
49,49,8825,other,,2.0,7.0,inv,shinv,inv
50,50,9198,other,,3.0,6.0,inv,shinv,inv
51,51,9322,other,,4.0,5.0,inv,shinv,inv
52,52,9451,other,,5.0,4.0,inv,shinv,inv
53,53,9588,other,,6.0,3.0,inv,shinv,inv
54,54,9912,other,,7.0,2.0,inv,shinv,inv
55,55,10032,other,,8.0,1.0,inv,shinv,inv
56,56,10158,other,,9.0,0.0,inv,shinv,inv
57,57,10278,first,10,,,shinv,inv,inv
58,58,10601,other,,0.0,1.0,shinv,inv,shinv
59,59,10727,other,,1.0,0.0,shinv,inv,shinv
60,60,10854,first,2,,,inv,shinv,shinv
