,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,136,first,0,,,norm,shinv,
1,1,242,other,,1.0,5.0,norm,shinv,norm
2,2,539,other,,2.0,4.0,norm,shinv,norm
3,3,649,other,,3.0,3.0,norm,shinv,norm
4,4,766,other,,4.0,2.0,norm,shinv,norm
5,5,877,other,,5.0,1.0,norm,shinv,norm
6,6,1203,other,,6.0,0.0,norm,shinv,norm
7,7,1312,first,6,,,shinv,norm,norm
8,8,1425,other,,0.0,0.0,shinv,norm,shinv
9,9,1546,first,1,,,norm,inv,shinv
10,10,1893,other,,0.0,0.0,norm,inv,norm
11,11,2096,first,1,,,inv,shinv,norm
12,12,2207,other,,0.0,1.0,inv,shinv,inv
13,13,2540,other,,1.0,0.0,inv,shinv,inv
14,14,2744,first,2,,,shinv,inv,inv
15,15,2851,other,,0.0,0.0,shinv,inv,shinv
16,16,3183,first,1,,,inv,norm,shinv
17,17,3296,other,,0.0,2.0,inv,norm,inv
18,18,3403,other,,1.0,1.0,inv,norm,inv
19,19,3518,other,,2.0,0.0,inv,norm,inv
20,20,3828,first,3,,,norm,inv,inv
21,21,4021,first,0,,,inv,norm,norm
22,22,4414,other,,0.0,2.0,inv,norm,inv
23,23,4614,other,,1.0,1.0,inv,norm,inv
24,24,4726,other,,2.0,0.0,inv,norm,inv
25,25,5051,first,3,,,norm,shinv,inv
26,26,5153,first,0,,,shinv,inv,norm
27,27,5255,other,,0.0,1.0,shinv,inv,shinv
28,28,5357,other,,1.0,0.0,shinv,inv,shinv
29,29,5671,first,2,,,inv,shinv,shinv
30,30,5880,other,,0.0,7.0,inv,shinv,inv
31,31,5987,other,,1.0,6.0,inv,shinv,inv
32,32,6291,other,,2.0,5.0,inv,shinv,inv
33,33,6398,other,,3.0,4.0,inv,shinv,inv
34,34,6603,other,,4.0,3.0,inv,shinv,inv
35,35,6928,other,,5.0,2.0,inv,shinv,inv
36,36,7124,other,,6.0,1.0,inv,shinv,inv
37,37,7336,other,,7.0,0.0,inv,shinv,inv
38,38,7634,first,8,,,shinv,inv,inv
39,39,7736,other,,0.0,1.0,shinv,inv,shinv
40,40,7837,other,,1.0,0.0,shinv,inv,shinv
41,41,7940,first,2,,,inv,shinv,shinv
42,42,8229,other,,0.0,1.0,inv,shinv,inv
43,43,8421,other,,1.0,0.0,inv,shinv,inv
44,44,8523,first,2,,,shinv,inv,inv
45,45,8816,first,0,,,inv,shinv,shinv
46,46,9015,other,,0.0,8.0,inv,shinv,inv
47,47,9121,other,,1.0,7.0,inv,shinv,inv
48,48,9406,other,,2.0,6.0,inv,shinv,inv
49,49,9598,other,,3.0,5.0,inv,shinv,inv
50,50,10000,other,,4.0,4.0,inv,shinv,inv
51,51,10101,other,,5.0,3.0,inv,shinv,inv
52,52,10203,other,,6.0,2.0,inv,shinv,inv
53,53,10304,other,,7.0,1.0,inv,shinv,inv
54,54,10583,other,,8.0,0.0,inv,shinv,inv
55,55,10772,first,9,,,shinv,inv,inv
56,56,10873,other,,0.0,1.0,shinv,inv,shinv
57,57,11131,other,,1.0,0.0,shinv,inv,shinv
58,58,11319,first,2,,,inv,shinv,shinv
59,59,11705,other,,0.0,0.0,inv,shinv,inv
60,60,11880,first,1,,,shinv,inv,inv
61,61,11982,other,,0.0,2.0,shinv,inv,shinv
62,62,12260,other,,1.0,1.0,shinv,inv,shinv
63,63,12452,other,,2.0,0.0,shinv,inv,shinv
64,64,12801,first,3,,,inv,norm,shinv
65,65,12989,first,0,,,norm,inv,inv
66,66,13095,other,,0.0,0.0,norm,inv,norm
