,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,291,first,0,,,norm,shinv,
1,1,456,other,,1.0,2.0,norm,shinv,norm
2,2,961,other,,2.0,1.0,norm,shinv,norm
3,3,1128,other,,3.0,0.0,norm,shinv,norm
4,4,1651,first,3,,,shinv,norm,norm
5,5,1816,other,,0.0,0.0,norm,inv,shinv
6,6,2330,first,1,,,inv,shinv,norm
7,7,2507,other,,0.0,1.0,inv,shinv,inv
8,8,2611,other,,1.0,0.0,inv,shinv,inv
9,9,3050,first,2,,,shinv,inv,inv
10,10,3222,other,,0.0,0.0,inv,norm,shinv
11,11,3750,first,1,,,norm,inv,inv
12,12,3924,other,,0.0,0.0,norm,inv,norm
13,13,4456,first,1,,,inv,norm,norm
14,14,4627,other,,0.0,0.0,inv,norm,inv
15,15,5177,first,1,,,norm,shinv,inv
16,16,5338,other,,0.0,0.0,shinv,inv,norm
17,17,5886,first,1,,,inv,shinv,shinv
18,18,6059,other,,0.0,3.0,inv,shinv,inv
19,19,6592,other,,1.0,2.0,inv,shinv,inv
20,20,6762,other,,2.0,1.0,inv,shinv,inv
21,21,7296,other,,3.0,0.0,inv,shinv,inv
22,22,7468,first,4,,,shinv,inv,inv
23,23,8013,first,0,,,inv,shinv,shinv
24,24,8196,other,,0.0,0.0,inv,shinv,inv
25,25,8758,first,1,,,shinv,inv,inv
26,26,8939,other,,0.0,5.0,inv,shinv,shinv
27,27,9500,other,,1.0,4.0,inv,shinv,inv
28,28,9623,other,,2.0,3.0,inv,shinv,inv
29,29,9801,other,,3.0,2.0,inv,shinv,inv
30,30,10262,other,,4.0,1.0,inv,shinv,inv
31,31,10434,other,,5.0,0.0,inv,shinv,inv
32,32,11017,first,6,,,shinv,inv,inv
33,33,11200,other,,0.0,0.0,shinv,inv,shinv
34,34,11794,first,1,,,inv,shinv,shinv
35,35,11949,other,,0.0,1.0,shinv,inv,inv
36,36,12449,other,,1.0,0.0,shinv,inv,shinv
37,37,12602,first,2,,,inv,norm,shinv
38,38,13070,first,0,,,norm,inv,inv
39,39,13223,first,0,,,inv,norm,norm
40,40,13688,other,,0.0,1.0,inv,norm,inv
41,41,13839,other,,1.0,0.0,inv,norm,inv
42,42,14303,first,2,,,norm,shinv,inv
43,43,14454,first,0,,,shinv,inv,norm
44,44,14923,first,0,,,inv,shinv,shinv
45,45,15065,other,,0.0,2.0,shinv,norm,inv
46,46,15498,other,,1.0,1.0,shinv,norm,shinv
47,47,15648,other,,2.0,0.0,shinv,norm,shinv
48,48,16099,first,3,,,norm,shinv,shinv
49,49,16230,other,,0.0,2.0,norm,shinv,norm
50,50,16392,other,,1.0,1.0,norm,shinv,norm
51,51,16779,other,,2.0,0.0,norm,shinv,norm
52,52,16944,first,3,,,shinv,norm,norm
53,53,17438,first,0,,,norm,inv,shinv
54,54,17592,other,,0.0,1.0,norm,inv,norm
55,55,18050,other,,1.0,0.0,norm,inv,norm
56,56,18197,first,2,,,inv,shinv,norm
57,57,18669,other,,0.0,6.0,inv,shinv,inv
58,58,18818,other,,1.0,5.0,inv,shinv,inv
59,59,19278,other,,2.0,4.0,inv,shinv,inv
60,60,19409,other,,3.0,3.0,inv,shinv,inv
61,61,19572,other,,4.0,2.0,inv,shinv,inv
62,62,19952,other,,5.0,1.0,inv,shinv,inv
63,63,20093,other,,6.0,0.0,inv,shinv,inv
64,64,20553,first,7,,,shinv,inv,inv
65,65,20700,other,,0.0,1.0,shinv,inv,shinv
66,66,21148,other,,1.0,0.0,shinv,inv,shinv
67,67,21279,first,2,,,inv,norm,shinv
68,68,21766,first,0,,,norm,inv,inv
69,69,21915,first,0,,,inv,norm,norm
70,70,22403,other,,0.0,1.0,inv,norm,inv
71,71,22557,other,,1.0,0.0,inv,norm,inv
72,72,23013,first,2,,,norm,shinv,inv
73,73,23164,first,0,,,shinv,inv,norm
74,74,23637,first,0,,,inv,shinv,shinv
75,75,23794,other,,0.0,2.0,shinv,norm,inv
76,76,24251,other,,1.0,1.0,shinv,norm,shinv
77,77,24406,other,,2.0,0.0,shinv,norm,shinv
78,78,24871,first,3,,,norm,shinv,shinv
79,79,25019,other,,0.0,1.0,norm,shinv,norm
80,80,25474,other,,1.0,0.0,norm,shinv,norm
81,81,25622,first,2,,,shinv,norm,norm
82,82,26069,first,0,,,norm,inv,shinv
