,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,112,first,0,,,norm,inv,
1,1,252,other,,1.0,0.0,norm,inv,norm
2,2,405,first,1,,,inv,shinv,norm
3,3,824,other,,0.0,2.0,inv,shinv,inv
4,4,966,other,,1.0,1.0,inv,shinv,inv
5,5,1124,other,,2.0,0.0,inv,shinv,inv
6,6,1272,first,3,,,shinv,inv,inv
7,7,1610,first,0,,,inv,norm,shinv
8,8,1754,other,,0.0,2.0,inv,norm,inv
9,9,1897,other,,1.0,1.0,inv,norm,inv
10,10,2039,other,,2.0,0.0,inv,norm,inv
11,11,2186,first,3,,,norm,inv,inv
12,12,2649,first,0,,,inv,norm,norm
13,13,2790,other,,0.0,2.0,inv,norm,inv
14,14,2938,other,,1.0,1.0,inv,norm,inv
15,15,3082,other,,2.0,0.0,inv,norm,inv
16,16,3533,first,3,,,norm,shinv,inv
17,17,3690,first,0,,,shinv,inv,norm
18,18,3845,first,0,,,inv,shinv,shinv
19,19,3999,other,,0.0,8.0,inv,shinv,inv
20,20,4450,other,,1.0,7.0,inv,shinv,inv
21,21,4600,other,,2.0,6.0,inv,shinv,inv
22,22,4742,other,,3.0,5.0,inv,shinv,inv
23,23,4896,other,,4.0,4.0,inv,shinv,inv
24,24,5314,other,,5.0,3.0,inv,shinv,inv
25,25,5466,other,,6.0,2.0,inv,shinv,inv
26,26,5625,other,,7.0,1.0,inv,shinv,inv
27,27,5775,other,,8.0,0.0,inv,shinv,inv
28,28,6226,first,9,,,shinv,inv,inv
29,29,6371,other,,0.0,0.0,shinv,inv,shinv
30,30,6525,first,1,,,inv,shinv,shinv
31,31,6679,other,,0.0,0.0,inv,shinv,inv
32,32,7143,first,1,,,shinv,inv,inv
33,33,7289,first,0,,,inv,shinv,shinv
34,34,7444,other,,0.0,7.0,inv,shinv,inv
35,35,7590,other,,1.0,6.0,inv,shinv,inv
36,36,7742,other,,2.0,5.0,inv,shinv,inv
37,37,8244,other,,3.0,4.0,inv,shinv,inv
38,38,8401,other,,4.0,3.0,inv,shinv,inv
39,39,8567,other,,5.0,2.0,inv,shinv,inv
40,40,8721,other,,6.0,1.0,inv,shinv,inv
41,41,9187,other,,7.0,0.0,inv,shinv,inv
42,42,9340,first,8,,,shinv,inv,inv
43,43,9500,other,,0.0,1.0,shinv,inv,shinv
44,44,9659,other,,1.0,0.0,shinv,inv,shinv
45,45,9816,first,2,,,inv,shinv,shinv
46,46,10203,other,,0.0,0.0,inv,shinv,inv
47,47,10364,first,1,,,shinv,inv,inv
48,48,10516,other,,0.0,1.0,shinv,inv,shinv
49,49,10667,other,,1.0,0.0,shinv,inv,shinv
50,50,11033,first,2,,,inv,norm,shinv
51,51,11331,other,,0.0,0.0,inv,norm,inv
52,52,11479,first,1,,,norm,inv,inv
53,53,11951,first,0,,,inv,norm,norm
54,54,12102,other,,0.0,2.0,inv,norm,inv
55,55,12250,other,,1.0,1.0,inv,norm,inv
56,56,12399,other,,2.0,0.0,inv,norm,inv
57,57,12793,first,3,,,norm,shinv,inv
58,58,12934,first,0,,,shinv,inv,norm
59,59,13075,first,0,,,inv,shinv,shinv
60,60,13228,other,,0.0,0.0,inv,shinv,inv
61,61,13579,first,1,,,shinv,norm,inv
62,62,13725,other,,0.0,3.0,shinv,norm,shinv
63,63,13870,other,,1.0,2.0,shinv,norm,shinv
64,64,14023,other,,2.0,1.0,shinv,norm,shinv
65,65,14320,other,,3.0,0.0,shinv,norm,shinv
66,66,14470,first,4,,,norm,shinv,shinv
67,67,14613,other,,0.0,2.0,norm,shinv,norm
68,68,14760,other,,1.0,1.0,norm,shinv,norm
69,69,15111,other,,2.0,0.0,norm,shinv,norm
70,70,15403,first,3,,,shinv,norm,norm
71,71,15552,other,,0.0,0.0,shinv,norm,shinv
72,72,15970,first,1,,,norm,inv,shinv
73,73,16123,other,,0.0,2.0,norm,inv,norm
74,74,16280,other,,1.0,1.0,norm,inv,norm
75,75,16437,other,,2.0,0.0,norm,inv,norm
76,76,16905,first,3,,,inv,shinv,norm
77,77,17055,other,,0.0,8.0,inv,shinv,inv
78,78,17214,other,,1.0,7.0,inv,shinv,inv
79,79,17370,other,,2.0,6.0,inv,shinv,inv
80,80,17810,other,,3.0,5.0,inv,shinv,inv
81,81,17961,other,,4.0,4.0,inv,shinv,inv
82,82,18108,other,,5.0,3.0,inv,shinv,inv
83,83,18260,other,,6.0,2.0,inv,shinv,inv
84,84,18676,other,,7.0,1.0,inv,shinv,inv
85,85,18817,other,,8.0,0.0,inv,shinv,inv
86,86,18962,first,9,,,shinv,inv,inv
87,87,19113,other,,0.0,2.0,shinv,inv,shinv
