,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,128,first,0,,,norm,shinv,
1,1,511,other,,1.0,3.0,norm,shinv,norm
2,2,637,other,,2.0,2.0,norm,shinv,norm
3,3,767,other,,3.0,1.0,norm,shinv,norm
4,4,896,other,,4.0,0.0,norm,shinv,norm
5,5,1280,first,4,,,shinv,norm,norm
6,6,1400,other,,0.0,1.0,shinv,norm,shinv
7,7,1526,other,,1.0,0.0,shinv,norm,shinv
8,8,1655,first,2,,,norm,inv,shinv
9,9,2046,other,,0.0,3.0,norm,inv,norm
10,10,2181,other,,1.0,2.0,norm,inv,norm
11,11,2315,other,,2.0,1.0,norm,inv,norm
12,12,2451,other,,3.0,0.0,norm,inv,norm
13,13,2821,first,4,,,inv,norm,norm
14,14,2954,other,,0.0,6.0,norm,shinv,inv
15,15,3080,other,,1.0,5.0,norm,shinv,norm
16,16,3201,other,,2.0,4.0,norm,shinv,norm
17,17,3609,other,,3.0,3.0,norm,shinv,norm
18,18,3726,other,,4.0,2.0,norm,shinv,norm
19,19,3847,other,,5.0,1.0,norm,shinv,norm
20,20,3965,other,,6.0,0.0,norm,shinv,norm
21,21,4354,first,7,,,shinv,norm,norm
22,22,4485,other,,0.0,2.0,norm,inv,shinv
23,23,4610,other,,1.0,1.0,norm,inv,norm
24,24,4730,other,,2.0,0.0,norm,inv,norm
25,25,5123,first,3,,,inv,shinv,norm
26,26,5250,other,,0.0,1.0,inv,shinv,inv
27,27,5381,other,,1.0,0.0,inv,shinv,inv
28,28,5511,first,2,,,shinv,inv,inv
29,29,5876,first,0,,,inv,norm,shinv
30,30,6008,other,,0.0,2.0,inv,norm,inv
31,31,6138,other,,1.0,1.0,inv,norm,inv
32,32,6270,other,,2.0,0.0,inv,norm,inv
33,33,6670,first,3,,,norm,inv,inv
34,34,6791,first,0,,,inv,norm,norm
35,35,6921,other,,0.0,3.0,inv,norm,inv
36,36,7054,other,,1.0,2.0,inv,norm,inv
37,37,7417,other,,2.0,1.0,inv,norm,inv
38,38,7549,other,,3.0,0.0,inv,norm,inv
39,39,7689,first,4,,,norm,shinv,inv
40,40,7820,other,,0.0,0.0,norm,shinv,norm
41,41,8187,first,1,,,shinv,inv,norm
42,42,8324,first,0,,,inv,shinv,shinv
43,43,8460,other,,0.0,9.0,inv,shinv,inv
44,44,8590,other,,1.0,8.0,inv,shinv,inv
45,45,8964,other,,2.0,7.0,inv,shinv,inv
46,46,9090,other,,3.0,6.0,inv,shinv,inv
47,47,9215,other,,4.0,5.0,inv,shinv,inv
48,48,9345,other,,5.0,4.0,inv,shinv,inv
49,49,9731,other,,6.0,3.0,inv,shinv,inv
50,50,9861,other,,7.0,2.0,inv,shinv,inv
51,51,9994,other,,8.0,1.0,inv,shinv,inv
52,52,10125,other,,9.0,0.0,inv,shinv,inv
53,53,10513,first,10,,,shinv,inv,inv
54,54,10640,other,,0.0,0.0,shinv,inv,shinv
55,55,10770,first,1,,,inv,shinv,shinv
56,56,10893,other,,0.0,0.0,inv,shinv,inv
57,57,11285,first,1,,,shinv,inv,inv
58,58,11407,other,,0.0,0.0,shinv,inv,shinv
59,59,11531,first,1,,,inv,shinv,shinv
60,60,11661,other,,0.0,9.0,inv,shinv,inv
61,61,12041,other,,1.0,8.0,inv,shinv,inv
62,62,12173,other,,2.0,7.0,inv,shinv,inv
63,63,12308,other,,3.0,6.0,inv,shinv,inv
