,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,259,first,0,,,norm,shinv,
1,1,402,other,,1.0,4.0,norm,shinv,norm
2,2,545,other,,2.0,3.0,norm,shinv,norm
3,3,682,other,,3.0,2.0,norm,shinv,norm
4,4,1027,other,,4.0,1.0,norm,shinv,norm
5,5,1166,other,,5.0,0.0,norm,shinv,norm
6,6,1308,first,5,,,shinv,norm,norm
7,7,1436,other,,0.0,0.0,shinv,norm,shinv
8,8,1781,first,1,,,norm,inv,shinv
9,9,1918,other,,0.0,2.0,norm,inv,norm
10,10,2049,other,,1.0,1.0,norm,inv,norm
11,11,2182,other,,2.0,0.0,norm,inv,norm
12,12,2562,first,3,,,inv,norm,norm
13,13,2694,other,,0.0,0.0,inv,norm,inv
14,14,2819,first,1,,,norm,shinv,inv
15,15,2941,other,,0.0,4.0,norm,shinv,norm
16,16,3322,other,,1.0,3.0,norm,shinv,norm
17,17,3466,other,,2.0,2.0,norm,shinv,norm
18,18,3601,other,,3.0,1.0,norm,shinv,norm
19,19,3730,other,,4.0,0.0,norm,shinv,norm
20,20,4102,first,5,,,shinv,norm,norm
21,21,4236,other,,0.0,0.0,shinv,norm,shinv
22,22,4379,first,1,,,norm,inv,shinv
23,23,4506,other,,0.0,0.0,norm,inv,norm
24,24,4861,first,1,,,inv,shinv,norm
25,25,4999,other,,0.0,2.0,inv,shinv,inv
26,26,5136,other,,1.0,1.0,inv,shinv,inv
27,27,5273,other,,2.0,0.0,inv,shinv,inv
28,28,5770,first,3,,,shinv,inv,inv
29,29,5909,other,,0.0,2.0,inv,norm,shinv
30,30,6047,other,,1.0,1.0,inv,norm,inv
31,31,6187,other,,2.0,0.0,inv,norm,inv
32,32,6560,first,3,,,norm,inv,inv
33,33,6688,other,,0.0,0.0,norm,inv,norm
34,34,6816,first,1,,,inv,norm,norm
35,35,6953,other,,0.0,3.0,inv,norm,inv
36,36,7285,other,,1.0,2.0,inv,norm,inv
37,37,7415,other,,2.0,1.0,inv,norm,inv
38,38,7548,other,,3.0,0.0,inv,norm,inv
39,39,7691,first,4,,,norm,shinv,inv
40,40,8065,first,0,,,shinv,inv,norm
41,41,8201,first,0,,,inv,shinv,shinv
42,42,8337,other,,0.0,9.0,inv,shinv,inv
43,43,8471,other,,1.0,8.0,inv,shinv,inv
44,44,8855,other,,2.0,7.0,inv,shinv,inv
45,45,8984,other,,3.0,6.0,inv,shinv,inv
46,46,9116,other,,4.0,5.0,inv,shinv,inv
47,47,9254,other,,5.0,4.0,inv,shinv,inv
48,48,9601,other,,6.0,3.0,inv,shinv,inv
49,49,9739,other,,7.0,2.0,inv,shinv,inv
50,50,9885,other,,8.0,1.0,inv,shinv,inv
51,51,10033,other,,9.0,0.0,inv,shinv,inv
52,52,10370,first,10,,,shinv,inv,inv
53,53,10523,other,,0.0,1.0,shinv,inv,shinv
54,54,10665,other,,1.0,0.0,shinv,inv,shinv
55,55,10805,first,2,,,inv,shinv,shinv
56,56,11144,other,,0.0,0.0,inv,shinv,inv
57,57,11295,first,1,,,shinv,inv,inv
