,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,300,first,0,,,norm,shinv,
1,1,404,other,,1.0,6.0,norm,shinv,norm
2,2,506,other,,2.0,5.0,norm,shinv,norm
3,3,608,other,,3.0,4.0,norm,shinv,norm
4,4,831,other,,4.0,3.0,norm,shinv,norm
5,5,934,other,,5.0,2.0,norm,shinv,norm
6,6,1038,other,,6.0,1.0,norm,shinv,norm
7,7,1140,other,,7.0,0.0,norm,shinv,norm
8,8,1387,first,7,,,shinv,norm,norm
9,9,1491,other,,0.0,0.0,shinv,norm,shinv
10,10,1597,first,1,,,norm,inv,shinv
11,11,1702,other,,0.0,6.0,norm,inv,norm
12,12,1865,other,,1.0,5.0,norm,inv,norm
13,13,1971,other,,2.0,4.0,norm,inv,norm
14,14,2073,other,,3.0,3.0,norm,inv,norm
15,15,2176,other,,4.0,2.0,norm,inv,norm
16,16,2389,other,,5.0,1.0,norm,inv,norm
17,17,2496,other,,6.0,0.0,norm,inv,norm
18,18,2600,first,7,,,inv,norm,norm
19,19,2704,other,,0.0,0.0,inv,norm,inv
20,20,2925,first,1,,,norm,shinv,inv
21,21,3027,other,,0.0,7.0,norm,shinv,norm
22,22,3132,other,,1.0,6.0,norm,shinv,norm
23,23,3233,other,,2.0,5.0,norm,shinv,norm
24,24,3509,other,,3.0,4.0,norm,shinv,norm
25,25,3615,other,,4.0,3.0,norm,shinv,norm
26,26,3716,other,,5.0,2.0,norm,shinv,norm
27,27,3819,other,,6.0,1.0,norm,shinv,norm
28,28,3999,other,,7.0,0.0,norm,shinv,norm
29,29,4103,first,8,,,shinv,norm,norm
30,30,4208,other,,0.0,1.0,shinv,norm,shinv
31,31,4310,other,,1.0,0.0,shinv,norm,shinv
32,32,4507,first,2,,,norm,inv,shinv
33,33,4610,other,,0.0,1.0,norm,inv,norm
34,34,4715,other,,1.0,0.0,norm,inv,norm
35,35,4818,first,2,,,inv,shinv,norm
36,36,4994,other,,0.0,3.0,inv,shinv,inv
37,37,5100,other,,1.0,2.0,inv,shinv,inv
38,38,5207,other,,2.0,1.0,inv,shinv,inv
39,39,5309,other,,3.0,0.0,inv,shinv,inv
40,40,5642,first,4,,,shinv,inv,inv
41,41,5747,other,,0.0,0.0,shinv,inv,shinv
42,42,5877,first,1,,,inv,norm,shinv
43,43,5995,other,,0.0,4.0,inv,norm,inv
44,44,6191,other,,1.0,3.0,inv,norm,inv
45,45,6296,other,,2.0,2.0,inv,norm,inv
46,46,6402,other,,3.0,1.0,inv,norm,inv
47,47,6503,other,,4.0,0.0,inv,norm,inv
48,48,6669,first,5,,,norm,inv,inv
49,49,6772,other,,0.0,0.0,norm,inv,norm
50,50,6873,first,1,,,inv,norm,norm
51,51,6977,other,,0.0,4.0,inv,norm,inv
52,52,7138,other,,1.0,3.0,inv,norm,inv
53,53,7239,other,,2.0,2.0,inv,norm,inv
54,54,7341,other,,3.0,1.0,inv,norm,inv
55,55,7501,other,,4.0,0.0,inv,norm,inv
56,56,7706,first,5,,,norm,shinv,inv
57,57,7812,other,,0.0,1.0,norm,shinv,norm
58,58,7919,other,,1.0,0.0,norm,shinv,norm
59,59,8023,first,2,,,shinv,inv,norm
60,60,8170,other,,0.0,0.0,shinv,inv,shinv
61,61,8275,first,1,,,inv,shinv,shinv
62,62,8378,other,,0.0,14.0,inv,shinv,inv
63,63,8480,other,,1.0,13.0,inv,shinv,inv
64,64,8672,other,,2.0,12.0,inv,shinv,inv
65,65,8776,other,,3.0,11.0,inv,shinv,inv
66,66,8881,other,,4.0,10.0,inv,shinv,inv
67,67,8982,other,,5.0,9.0,inv,shinv,inv
68,68,9144,other,,6.0,8.0,inv,shinv,inv
69,69,9246,other,,7.0,7.0,inv,shinv,inv
70,70,9353,other,,8.0,6.0,inv,shinv,inv
71,71,9459,other,,9.0,5.0,inv,shinv,inv
72,72,9682,other,,10.0,4.0,inv,shinv,inv
73,73,9784,other,,11.0,3.0,inv,shinv,inv
74,74,9888,other,,12.0,2.0,inv,shinv,inv
75,75,9993,other,,13.0,1.0,inv,shinv,inv
76,76,10177,other,,14.0,0.0,inv,shinv,inv
77,77,10281,first,15,,,shinv,inv,inv
78,78,10382,other,,0.0,2.0,shinv,inv,shinv
79,79,10483,other,,1.0,1.0,shinv,inv,shinv
80,80,10668,other,,2.0,0.0,shinv,inv,shinv
81,81,10777,first,3,,,inv,shinv,shinv
82,82,10881,other,,0.0,2.0,inv,shinv,inv
83,83,10985,other,,1.0,1.0,inv,shinv,inv
84,84,11165,other,,2.0,0.0,inv,shinv,inv
85,85,11272,first,3,,,shinv,inv,inv
86,86,11374,other,,0.0,1.0,shinv,inv,shinv
87,87,11480,other,,1.0,0.0,shinv,inv,shinv
88,88,11645,first,2,,,inv,shinv,shinv
89,89,11752,other,,0.0,15.0,inv,shinv,inv
90,90,11854,other,,1.0,14.0,inv,shinv,inv
91,91,11960,other,,2.0,13.0,inv,shinv,inv
92,92,12121,other,,3.0,12.0,inv,shinv,inv
93,93,12222,other,,4.0,11.0,inv,shinv,inv
94,94,12327,other,,5.0,10.0,inv,shinv,inv
95,95,12430,other,,6.0,9.0,inv,shinv,inv
96,96,12617,other,,7.0,8.0,inv,shinv,inv
97,97,12721,other,,8.0,7.0,inv,shinv,inv
98,98,12822,other,,9.0,6.0,inv,shinv,inv
99,99,12927,other,,10.0,5.0,inv,shinv,inv
100,100,13084,other,,11.0,4.0,inv,shinv,inv
101,101,13185,other,,12.0,3.0,inv,shinv,inv
102,102,13286,other,,13.0,2.0,inv,shinv,inv
103,103,13387,other,,14.0,1.0,inv,shinv,inv
104,104,13539,other,,15.0,0.0,inv,shinv,inv
105,105,13642,first,16,,,shinv,inv,inv
106,106,13744,other,,0.0,2.0,shinv,inv,shinv
107,107,13849,other,,1.0,1.0,shinv,inv,shinv
108,108,14005,other,,2.0,0.0,shinv,inv,shinv
109,109,14110,first,3,,,inv,shinv,shinv
110,110,14213,other,,0.0,3.0,inv,shinv,inv
111,111,14314,other,,1.0,2.0,inv,shinv,inv
112,112,14446,other,,2.0,1.0,inv,shinv,inv
113,113,14552,other,,3.0,0.0,inv,shinv,inv
114,114,14656,first,4,,,shinv,inv,inv
115,115,14763,other,,0.0,5.0,shinv,inv,shinv
116,116,14867,other,,1.0,4.0,shinv,inv,shinv
117,117,14968,other,,2.0,3.0,shinv,inv,shinv
118,118,15072,other,,3.0,2.0,shinv,inv,shinv
119,119,15176,other,,4.0,1.0,shinv,inv,shinv
120,120,15281,other,,5.0,0.0,shinv,inv,shinv
121,121,15385,first,6,,,inv,norm,shinv
122,122,15488,other,,0.0,2.0,inv,norm,inv
123,123,15592,other,,1.0,1.0,inv,norm,inv
124,124,15698,other,,2.0,0.0,inv,norm,inv
125,125,15802,first,3,,,norm,inv,inv
126,126,15908,other,,0.0,0.0,norm,inv,norm
127,127,16071,first,1,,,inv,norm,norm
128,128,16177,other,,0.0,5.0,inv,norm,inv
