,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,128,first,0,,,norm,shinv,
1,1,257,other,,1.0,5.0,norm,shinv,norm
2,2,608,other,,2.0,4.0,norm,shinv,norm
3,3,737,other,,3.0,3.0,norm,shinv,norm
4,4,867,other,,4.0,2.0,norm,shinv,norm
5,5,999,other,,5.0,1.0,norm,shinv,norm
6,6,1269,other,,6.0,0.0,norm,shinv,norm
7,7,1417,first,6,,,shinv,norm,norm
8,8,1552,first,0,,,norm,inv,shinv
9,9,1703,other,,0.0,4.0,norm,inv,norm
10,10,2024,other,,1.0,3.0,norm,inv,norm
11,11,2156,other,,2.0,2.0,norm,inv,norm
12,12,2298,other,,3.0,1.0,norm,inv,norm
13,13,2438,other,,4.0,0.0,norm,inv,norm
14,14,2742,first,5,,,inv,norm,norm
15,15,2889,first,0,,,norm,shinv,inv
16,16,3031,other,,0.0,5.0,norm,shinv,norm
17,17,3179,other,,1.0,4.0,norm,shinv,norm
18,18,3473,other,,2.0,3.0,norm,shinv,norm
19,19,3618,other,,3.0,2.0,norm,shinv,norm
20,20,3780,other,,4.0,1.0,norm,shinv,norm
21,21,3926,other,,5.0,0.0,norm,shinv,norm
22,22,4173,first,6,,,shinv,norm,norm
23,23,4302,other,,0.0,0.0,shinv,norm,shinv
24,24,4447,first,1,,,norm,inv,shinv
25,25,4627,other,,0.0,0.0,norm,inv,norm
26,26,4896,first,1,,,inv,shinv,norm
27,27,5047,other,,0.0,2.0,inv,shinv,inv
28,28,5200,other,,1.0,1.0,inv,shinv,inv
29,29,5379,other,,2.0,0.0,inv,shinv,inv
30,30,5667,first,3,,,shinv,inv,inv
31,31,5815,first,0,,,inv,norm,shinv
32,32,5968,other,,0.0,2.0,inv,norm,inv
33,33,6126,other,,1.0,1.0,inv,norm,inv
34,34,6459,other,,2.0,0.0,inv,norm,inv
35,35,6598,first,3,,,norm,inv,inv
36,36,6767,other,,0.0,0.0,norm,inv,norm
37,37,6914,first,1,,,inv,norm,norm
38,38,7207,other,,0.0,3.0,inv,norm,inv
39,39,7342,other,,1.0,2.0,inv,norm,inv
