,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,82,first,0,,,norm,shinv,
1,1,318,other,,1.0,4.0,norm,shinv,norm
2,2,419,other,,2.0,3.0,norm,shinv,norm
3,3,609,other,,3.0,2.0,norm,shinv,norm
4,4,823,other,,4.0,1.0,norm,shinv,norm
5,5,1016,other,,5.0,0.0,norm,shinv,norm
6,6,1283,first,5,,,shinv,norm,norm
7,7,1385,other,,0.0,0.0,shinv,norm,shinv
8,8,1568,first,1,,,norm,inv,shinv
9,9,1882,other,,0.0,3.0,norm,inv,norm
10,10,2073,other,,1.0,2.0,norm,inv,norm
11,11,2301,other,,2.0,1.0,norm,inv,norm
12,12,2489,other,,3.0,0.0,norm,inv,norm
13,13,2791,first,4,,,inv,norm,norm
14,14,2970,first,0,,,norm,shinv,inv
15,15,3261,other,,0.0,3.0,norm,shinv,norm
16,16,3440,other,,1.0,2.0,norm,shinv,norm
17,17,3754,other,,2.0,1.0,norm,shinv,norm
18,18,3938,other,,3.0,0.0,norm,shinv,norm
19,19,4236,first,4,,,shinv,norm,norm
20,20,4431,first,0,,,norm,inv,shinv
21,21,4744,first,0,,,inv,shinv,norm
22,22,4926,other,,0.0,2.0,inv,shinv,inv
23,23,5210,other,,1.0,1.0,inv,shinv,inv
24,24,5423,other,,2.0,0.0,inv,shinv,inv
25,25,5695,first,3,,,shinv,inv,inv
26,26,5796,first,0,,,inv,norm,shinv
27,27,5982,other,,0.0,2.0,inv,norm,inv
28,28,6157,other,,1.0,1.0,inv,norm,inv
29,29,6339,other,,2.0,0.0,inv,norm,inv
30,30,6644,first,3,,,norm,inv,inv
31,31,6832,first,0,,,inv,norm,norm
32,32,7111,other,,0.0,2.0,inv,norm,inv
33,33,7298,other,,1.0,1.0,inv,norm,inv
34,34,7668,other,,2.0,0.0,inv,norm,inv
35,35,7846,first,3,,,norm,shinv,inv
36,36,8019,first,0,,,shinv,inv,norm
37,37,8208,first,0,,,inv,shinv,shinv
38,38,8485,other,,0.0,7.0,inv,shinv,inv
39,39,8669,other,,1.0,6.0,inv,shinv,inv
40,40,9055,other,,2.0,5.0,inv,shinv,inv
41,41,9239,other,,3.0,4.0,inv,shinv,inv
42,42,9455,other,,4.0,3.0,inv,shinv,inv
43,43,9639,other,,5.0,2.0,inv,shinv,inv
44,44,9925,other,,6.0,1.0,inv,shinv,inv
45,45,10109,other,,7.0,0.0,inv,shinv,inv
46,46,10400,first,8,,,shinv,inv,inv
47,47,10585,other,,0.0,0.0,shinv,inv,shinv
48,48,10856,first,1,,,inv,shinv,shinv
49,49,11039,other,,0.0,0.0,inv,shinv,inv
50,50,11308,first,1,,,shinv,inv,inv
51,51,11478,other,,0.0,0.0,shinv,inv,shinv
52,52,11764,first,1,,,inv,shinv,shinv
53,53,11940,other,,0.0,7.0,inv,shinv,inv
54,54,12223,other,,1.0,6.0,inv,shinv,inv
55,55,12402,other,,2.0,5.0,inv,shinv,inv
56,56,12693,other,,3.0,4.0,inv,shinv,inv
57,57,12867,other,,4.0,3.0,inv,shinv,inv
58,58,13158,other,,5.0,2.0,inv,shinv,inv
59,59,13259,other,,6.0,1.0,inv,shinv,inv
60,60,13434,other,,7.0,0.0,inv,shinv,inv
61,61,13623,first,8,,,shinv,inv,inv
62,62,13800,other,,0.0,0.0,shinv,inv,shinv
63,63,14090,first,1,,,inv,shinv,shinv
64,64,14265,other,,0.0,1.0,inv,shinv,inv
65,65,14532,other,,1.0,0.0,inv,shinv,inv
66,66,14982,first,2,,,shinv,inv,inv
67,67,15158,other,,0.0,0.0,shinv,inv,shinv
68,68,15431,first,1,,,inv,norm,shinv
69,69,15611,other,,0.0,0.0,inv,norm,inv
70,70,15897,first,1,,,norm,inv,inv
71,71,16072,first,0,,,inv,norm,norm
72,72,16338,other,,0.0,2.0,inv,norm,inv
73,73,16509,other,,1.0,1.0,inv,norm,inv
74,74,16762,other,,2.0,0.0,inv,norm,inv
75,75,16918,first,3,,,norm,shinv,inv
76,76,17268,first,0,,,shinv,inv,norm
77,77,17427,first,0,,,inv,shinv,shinv
78,78,17608,other,,0.0,0.0,inv,shinv,inv
79,79,17758,first,1,,,shinv,norm,inv
80,80,18008,other,,0.0,3.0,shinv,norm,shinv
81,81,18153,other,,1.0,2.0,shinv,norm,shinv
82,82,18388,other,,2.0,1.0,shinv,norm,shinv
83,83,18542,other,,3.0,0.0,shinv,norm,shinv
84,84,18803,first,4,,,norm,shinv,shinv
85,85,18945,other,,0.0,4.0,norm,shinv,norm
86,86,19186,other,,1.0,3.0,norm,shinv,norm
87,87,19303,other,,2.0,2.0,norm,shinv,norm
88,88,19516,other,,3.0,1.0,norm,shinv,norm
89,89,19628,other,,4.0,0.0,norm,shinv,norm
90,90,19851,first,5,,,shinv,norm,norm
91,91,19968,first,0,,,norm,inv,shinv
92,92,20192,other,,0.0,5.0,norm,inv,norm
93,93,20308,other,,1.0,4.0,norm,inv,norm
94,94,20529,other,,2.0,3.0,norm,inv,norm
95,95,20647,other,,3.0,2.0,norm,inv,norm
96,96,20863,other,,4.0,1.0,norm,inv,norm
97,97,20979,other,,5.0,0.0,norm,inv,norm
98,98,21209,first,6,,,inv,shinv,norm
99,99,21328,other,,0.0,10.0,inv,shinv,inv
100,100,21565,other,,1.0,9.0,inv,shinv,inv
101,101,21683,other,,2.0,8.0,inv,shinv,inv
102,102,21917,other,,3.0,7.0,inv,shinv,inv
103,103,22033,other,,4.0,6.0,inv,shinv,inv
104,104,22265,other,,5.0,5.0,inv,shinv,inv
105,105,22377,other,,6.0,4.0,inv,shinv,inv
106,106,22611,other,,7.0,3.0,inv,shinv,inv
107,107,22722,other,,8.0,2.0,inv,shinv,inv
108,108,22981,other,,9.0,1.0,inv,shinv,inv
109,109,23115,other,,10.0,0.0,inv,shinv,inv
110,110,23508,first,11,,,shinv,inv,inv
111,111,23631,other,,0.0,2.0,shinv,inv,shinv
112,112,23870,other,,1.0,1.0,shinv,inv,shinv
