,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,139,first,0,,,norm,shinv,
1,1,249,other,,1.0,6.0,norm,shinv,norm
2,2,355,other,,2.0,5.0,norm,shinv,norm
3,3,466,other,,3.0,4.0,norm,shinv,norm
4,4,830,other,,4.0,3.0,norm,shinv,norm
5,5,939,other,,5.0,2.0,norm,shinv,norm
6,6,1045,other,,6.0,1.0,norm,shinv,norm
7,7,1153,other,,7.0,0.0,norm,shinv,norm
8,8,1534,first,7,,,shinv,norm,norm
9,9,1738,first,0,,,norm,inv,shinv
10,10,1847,other,,0.0,4.0,norm,inv,norm
11,11,2169,other,,1.0,3.0,norm,inv,norm
12,12,2270,other,,2.0,2.0,norm,inv,norm
13,13,2379,other,,3.0,1.0,norm,inv,norm
14,14,2488,other,,4.0,0.0,norm,inv,norm
15,15,2804,first,5,,,inv,norm,norm
16,16,2909,first,0,,,norm,shinv,inv
17,17,3098,other,,0.0,3.0,norm,shinv,norm
18,18,3203,other,,1.0,2.0,norm,shinv,norm
19,19,3535,other,,2.0,1.0,norm,shinv,norm
20,20,3731,other,,3.0,0.0,norm,shinv,norm
21,21,4153,first,4,,,shinv,norm,norm
22,22,4338,other,,0.0,0.0,shinv,norm,shinv
23,23,4442,first,1,,,norm,inv,shinv
24,24,4760,first,0,,,inv,shinv,norm
25,25,4871,other,,0.0,3.0,inv,shinv,inv
26,26,5075,other,,1.0,2.0,inv,shinv,inv
27,27,5179,other,,2.0,1.0,inv,shinv,inv
28,28,5482,other,,3.0,0.0,inv,shinv,inv
29,29,5584,first,4,,,shinv,inv,inv
30,30,5779,first,0,,,inv,norm,shinv
31,31,6124,other,,0.0,2.0,inv,norm,inv
32,32,6225,other,,1.0,1.0,inv,norm,inv
33,33,6427,other,,2.0,0.0,inv,norm,inv
34,34,6759,first,3,,,norm,inv,inv
35,35,6958,first,0,,,inv,norm,norm
36,36,7059,other,,0.0,2.0,inv,norm,inv
37,37,7404,other,,1.0,1.0,inv,norm,inv
38,38,7604,other,,2.0,0.0,inv,norm,inv
39,39,7716,first,3,,,norm,shinv,inv
40,40,8053,first,0,,,shinv,inv,norm
41,41,8249,first,0,,,inv,shinv,shinv
42,42,8354,other,,0.0,7.0,inv,shinv,inv
43,43,8675,other,,1.0,6.0,inv,shinv,inv
44,44,8870,other,,2.0,5.0,inv,shinv,inv
45,45,9276,other,,3.0,4.0,inv,shinv,inv
46,46,9465,other,,4.0,3.0,inv,shinv,inv
47,47,9878,other,,5.0,2.0,inv,shinv,inv
48,48,10074,other,,6.0,1.0,inv,shinv,inv
49,49,10181,other,,7.0,0.0,inv,shinv,inv
50,50,10480,first,8,,,shinv,inv,inv
51,51,10671,other,,0.0,0.0,shinv,inv,shinv
