,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,407,first,0,,,norm,shinv,
1,1,593,other,,1.0,3.0,norm,shinv,norm
2,2,891,other,,2.0,2.0,norm,shinv,norm
3,3,1077,other,,3.0,1.0,norm,shinv,norm
4,4,1184,other,,4.0,0.0,norm,shinv,norm
5,5,1408,first,4,,,shinv,norm,norm
6,6,1604,first,0,,,norm,inv,shinv
7,7,1882,other,,0.0,4.0,norm,inv,norm
8,8,2051,other,,1.0,3.0,norm,inv,norm
9,9,2159,other,,2.0,2.0,norm,inv,norm
10,10,2355,other,,3.0,1.0,norm,inv,norm
11,11,2527,other,,4.0,0.0,norm,inv,norm
12,12,2805,first,5,,,inv,norm,norm
13,13,2961,first,0,,,norm,shinv,inv
14,14,3336,other,,0.0,1.0,norm,shinv,norm
15,15,3490,other,,1.0,0.0,norm,shinv,norm
16,16,4103,first,2,,,shinv,norm,norm
17,17,4282,other,,0.0,0.0,shinv,norm,shinv
18,18,4384,first,1,,,norm,inv,shinv
19,19,4617,other,,0.0,0.0,norm,inv,norm
20,20,4781,first,1,,,inv,shinv,norm
21,21,5054,other,,0.0,1.0,inv,shinv,inv
22,22,5224,other,,1.0,0.0,inv,shinv,inv
23,23,5560,first,2,,,shinv,inv,inv
24,24,5730,other,,0.0,0.0,shinv,inv,shinv
25,25,6031,first,1,,,inv,norm,shinv
26,26,6198,other,,0.0,1.0,inv,norm,inv
27,27,6456,other,,1.0,0.0,inv,norm,inv
28,28,6618,first,2,,,norm,inv,inv
29,29,6884,first,0,,,inv,norm,norm
30,30,7034,other,,0.0,2.0,inv,norm,inv
31,31,7299,other,,1.0,1.0,inv,norm,inv
32,32,7470,other,,2.0,0.0,inv,norm,inv
33,33,7744,first,3,,,norm,shinv,inv
34,34,7907,other,,0.0,0.0,norm,shinv,norm
35,35,8185,first,1,,,shinv,inv,norm
36,36,8297,first,0,,,inv,shinv,shinv
37,37,8480,other,,0.0,7.0,inv,shinv,inv
38,38,8647,other,,1.0,6.0,inv,shinv,inv
39,39,8832,other,,2.0,5.0,inv,shinv,inv
40,40,9120,other,,3.0,4.0,inv,shinv,inv
41,41,9280,other,,4.0,3.0,inv,shinv,inv
42,42,9586,other,,5.0,2.0,inv,shinv,inv
43,43,9751,other,,6.0,1.0,inv,shinv,inv
44,44,9886,other,,7.0,0.0,inv,shinv,inv
45,45,10375,first,8,,,shinv,inv,inv
46,46,10549,other,,0.0,0.0,shinv,inv,shinv
47,47,10799,first,1,,,inv,shinv,shinv
48,48,10962,other,,0.0,0.0,inv,shinv,inv
49,49,11278,first,1,,,shinv,inv,inv
50,50,11438,other,,0.0,0.0,shinv,inv,shinv
51,51,11885,first,1,,,inv,shinv,shinv
52,52,12052,other,,0.0,6.0,inv,shinv,inv
53,53,12334,other,,1.0,5.0,inv,shinv,inv
54,54,12497,other,,2.0,4.0,inv,shinv,inv
55,55,12722,other,,3.0,3.0,inv,shinv,inv
56,56,12896,other,,4.0,2.0,inv,shinv,inv
57,57,13266,other,,5.0,1.0,inv,shinv,inv
58,58,13426,other,,6.0,0.0,inv,shinv,inv
59,59,13668,first,7,,,shinv,inv,inv
60,60,13813,other,,0.0,1.0,shinv,inv,shinv
61,61,14062,other,,1.0,0.0,shinv,inv,shinv
62,62,14212,first,2,,,inv,shinv,shinv
63,63,14454,other,,0.0,0.0,inv,shinv,inv
64,64,14612,first,1,,,shinv,inv,inv
65,65,14877,other,,0.0,2.0,shinv,inv,shinv
66,66,15034,other,,1.0,1.0,shinv,inv,shinv
67,67,15300,other,,2.0,0.0,shinv,inv,shinv
68,68,15404,first,3,,,inv,norm,shinv
69,69,15579,other,,0.0,1.0,inv,norm,inv
70,70,15731,other,,1.0,0.0,inv,norm,inv
71,71,15883,first,2,,,norm,inv,inv
72,72,16119,first,0,,,inv,norm,norm
73,73,16241,other,,0.0,3.0,inv,norm,inv
74,74,16390,other,,1.0,2.0,inv,norm,inv
75,75,16644,other,,2.0,1.0,inv,norm,inv
76,76,16791,other,,3.0,0.0,inv,norm,inv
77,77,17071,first,4,,,norm,shinv,inv
78,78,17289,first,0,,,shinv,inv,norm
79,79,17435,first,0,,,inv,shinv,shinv
80,80,17703,first,0,,,shinv,norm,inv
81,81,17858,other,,0.0,4.0,shinv,norm,shinv
82,82,18061,other,,1.0,3.0,shinv,norm,shinv
83,83,18194,other,,2.0,2.0,shinv,norm,shinv
84,84,18400,other,,3.0,1.0,shinv,norm,shinv
85,85,18547,other,,4.0,0.0,shinv,norm,shinv
86,86,18919,first,5,,,norm,shinv,shinv
87,87,19077,other,,0.0,2.0,norm,shinv,norm
88,88,19366,other,,1.0,1.0,norm,shinv,norm
89,89,19511,other,,2.0,0.0,norm,shinv,norm
90,90,19742,first,3,,,shinv,norm,norm
91,91,19898,other,,0.0,0.0,shinv,norm,shinv
92,92,20127,first,1,,,norm,inv,shinv
93,93,20274,other,,0.0,3.0,norm,inv,norm
94,94,20498,other,,1.0,2.0,norm,inv,norm
95,95,20649,other,,2.0,1.0,norm,inv,norm
96,96,20875,other,,3.0,0.0,norm,inv,norm
97,97,21020,first,4,,,inv,shinv,norm
98,98,21253,other,,0.0,11.0,inv,shinv,inv
99,99,21403,other,,1.0,10.0,inv,shinv,inv
100,100,21621,other,,2.0,9.0,inv,shinv,inv
101,101,21771,other,,3.0,8.0,inv,shinv,inv
102,102,21981,other,,4.0,7.0,inv,shinv,inv
103,103,22120,other,,5.0,6.0,inv,shinv,inv
104,104,22352,other,,6.0,5.0,inv,shinv,inv
105,105,22492,other,,7.0,4.0,inv,shinv,inv
106,106,22698,other,,8.0,3.0,inv,shinv,inv
107,107,22848,other,,9.0,2.0,inv,shinv,inv
108,108,22949,other,,10.0,1.0,inv,shinv,inv
109,109,23274,other,,11.0,0.0,inv,shinv,inv
110,110,23404,first,12,,,shinv,inv,inv
111,111,23611,other,,0.0,2.0,shinv,inv,shinv
112,112,23734,other,,1.0,1.0,shinv,inv,shinv
113,113,23940,other,,2.0,0.0,shinv,inv,shinv
114,114,24066,first,3,,,inv,norm,shinv
115,115,24271,other,,0.0,1.0,inv,norm,inv
116,116,24387,other,,1.0,0.0,inv,norm,inv
117,117,24605,first,2,,,norm,inv,inv
118,118,24721,first,0,,,inv,norm,norm
