,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,73,first,0,,,norm,shinv,
1,1,177,other,,1.0,4.0,norm,shinv,norm
2,2,278,other,,2.0,3.0,norm,shinv,norm
3,3,380,other,,3.0,2.0,norm,shinv,norm
4,4,958,other,,4.0,1.0,norm,shinv,norm
5,5,1157,other,,5.0,0.0,norm,shinv,norm
6,6,1692,first,5,,,shinv,norm,norm
7,7,1937,other,,0.0,2.0,norm,inv,shinv
8,8,2232,other,,1.0,1.0,norm,inv,norm
9,9,2419,other,,2.0,0.0,norm,inv,norm
10,10,2565,first,3,,,inv,norm,norm
11,11,2853,first,0,,,norm,shinv,inv
12,12,3135,other,,0.0,4.0,norm,shinv,norm
13,13,3326,other,,1.0,3.0,norm,shinv,norm
14,14,3560,other,,2.0,2.0,norm,shinv,norm
15,15,3756,other,,3.0,1.0,norm,shinv,norm
16,16,3964,other,,4.0,0.0,norm,shinv,norm
17,17,4439,first,5,,,shinv,norm,norm
18,18,4540,other,,0.0,0.0,norm,inv,shinv
19,19,4829,first,1,,,inv,shinv,norm
20,20,4984,other,,0.0,1.0,inv,shinv,inv
21,21,5109,other,,1.0,0.0,inv,shinv,inv
22,22,5636,first,2,,,shinv,inv,inv
23,23,6047,first,0,,,inv,norm,shinv
24,24,6299,other,,0.0,1.0,inv,norm,inv
25,25,6474,other,,1.0,0.0,inv,norm,inv
26,26,7014,first,2,,,norm,inv,inv
27,27,7210,other,,0.0,2.0,inv,norm,norm
28,28,7485,other,,1.0,1.0,inv,norm,inv
29,29,7679,other,,2.0,0.0,inv,norm,inv
30,30,8172,first,3,,,norm,shinv,inv
31,31,8363,first,0,,,shinv,inv,norm
32,32,8818,other,,0.0,9.0,inv,shinv,shinv
33,33,8938,other,,1.0,8.0,inv,shinv,inv
34,34,9043,other,,2.0,7.0,inv,shinv,inv
35,35,9154,other,,3.0,6.0,inv,shinv,inv
36,36,9277,other,,4.0,5.0,inv,shinv,inv
37,37,9388,other,,5.0,4.0,inv,shinv,inv
38,38,9494,other,,6.0,3.0,inv,shinv,inv
39,39,9608,other,,7.0,2.0,inv,shinv,inv
40,40,9963,other,,8.0,1.0,inv,shinv,inv
41,41,10097,other,,9.0,0.0,inv,shinv,inv
42,42,10256,first,10,,,shinv,inv,inv
43,43,10924,first,0,,,inv,shinv,shinv
44,44,11026,other,,0.0,1.0,inv,shinv,inv
45,45,11225,other,,1.0,0.0,inv,shinv,inv
46,46,11934,first,2,,,shinv,inv,inv
47,47,12035,other,,0.0,5.0,inv,shinv,shinv
48,48,12137,other,,1.0,4.0,inv,shinv,inv
49,49,12797,other,,2.0,3.0,inv,shinv,inv
50,50,12990,other,,3.0,2.0,inv,shinv,inv
51,51,13192,other,,4.0,1.0,inv,shinv,inv
52,52,13391,other,,5.0,0.0,inv,shinv,inv
53,53,13929,first,6,,,shinv,inv,inv
54,54,14117,first,0,,,inv,shinv,shinv
55,55,14331,other,,0.0,0.0,inv,shinv,inv
56,56,14821,first,1,,,shinv,inv,inv
57,57,14999,other,,0.0,0.0,shinv,inv,shinv
58,58,15593,first,1,,,inv,norm,shinv
59,59,15775,first,0,,,norm,inv,inv
60,60,16339,first,0,,,inv,norm,norm
61,61,16440,other,,0.0,1.0,inv,norm,inv
62,62,16635,other,,1.0,0.0,inv,norm,inv
63,63,17055,first,2,,,norm,shinv,inv
64,64,17170,first,0,,,shinv,inv,norm
65,65,17368,other,,0.0,0.0,shinv,inv,shinv
66,66,17689,first,1,,,inv,shinv,shinv
67,67,17883,other,,0.0,3.0,shinv,norm,inv
68,68,18070,other,,1.0,2.0,shinv,norm,shinv
69,69,18265,other,,2.0,1.0,shinv,norm,shinv
70,70,18370,other,,3.0,0.0,shinv,norm,shinv
71,71,19010,first,4,,,norm,shinv,shinv
72,72,19192,other,,0.0,2.0,norm,shinv,norm
73,73,19376,other,,1.0,1.0,norm,shinv,norm
74,74,19561,other,,2.0,0.0,norm,shinv,norm
75,75,20309,first,3,,,shinv,norm,norm
76,76,20481,other,,0.0,1.0,norm,inv,shinv
77,77,20669,other,,1.0,0.0,norm,inv,norm
78,78,21029,first,2,,,inv,shinv,norm
79,79,21201,other,,0.0,5.0,inv,shinv,inv
80,80,21657,other,,1.0,4.0,inv,shinv,inv
81,81,21826,other,,2.0,3.0,inv,shinv,inv
82,82,21988,other,,3.0,2.0,inv,shinv,inv
83,83,22689,other,,4.0,1.0,inv,shinv,inv
84,84,22864,other,,5.0,0.0,inv,shinv,inv
85,85,23510,first,6,,,shinv,inv,inv
86,86,23894,other,,0.0,0.0,shinv,inv,shinv
87,87,24065,first,1,,,inv,norm,shinv
88,88,24766,first,0,,,norm,inv,inv
89,89,24955,other,,0.0,1.0,inv,norm,norm
90,90,25588,other,,1.0,0.0,inv,norm,inv
91,91,25765,first,2,,,norm,shinv,inv
92,92,25870,first,0,,,shinv,inv,norm
93,93,26392,first,0,,,inv,shinv,shinv
94,94,26571,other,,0.0,1.0,shinv,norm,inv
95,95,27310,other,,1.0,0.0,shinv,norm,shinv
96,96,27457,first,2,,,norm,shinv,shinv
97,97,28172,other,,0.0,1.0,norm,shinv,norm
98,98,28338,other,,1.0,0.0,norm,shinv,norm
99,99,29244,first,2,,,shinv,norm,norm
100,100,29401,other,,0.0,0.0,norm,inv,shinv
101,101,30021,first,1,,,inv,norm,norm
102,102,30175,other,,0.0,7.0,inv,norm,inv
103,103,30793,other,,1.0,6.0,inv,norm,inv
104,104,30936,other,,2.0,5.0,inv,norm,inv
105,105,31677,other,,3.0,4.0,inv,norm,inv
106,106,31813,other,,4.0,3.0,inv,norm,inv
107,107,32396,other,,5.0,2.0,inv,norm,inv
108,108,32560,other,,6.0,1.0,inv,norm,inv
109,109,32664,other,,7.0,0.0,inv,norm,inv
110,110,33495,first,8,,,norm,inv,inv
111,111,33683,other,,0.0,0.0,inv,norm,norm
112,112,34503,first,1,,,norm,shinv,inv
113,113,34650,first,0,,,shinv,shinv,norm
114,114,35323,other,,0.0,5.0,shinv,shinv,shinv
115,115,35500,other,,1.0,4.0,shinv,shinv,shinv
116,116,36166,other,,2.0,3.0,shinv,shinv,shinv
117,117,36311,other,,3.0,2.0,shinv,shinv,shinv
118,118,36454,other,,4.0,1.0,shinv,shinv,shinv
119,119,36622,other,,5.0,0.0,shinv,shinv,shinv
120,120,36936,first,6,,,shinv,inv,shinv
121,121,37076,other,,0.0,1.0,shinv,inv,shinv
122,122,37212,other,,1.0,0.0,shinv,inv,shinv
123,123,37745,first,2,,,inv,shinv,shinv
124,124,37895,first,0,,,shinv,inv,inv
125,125,38035,other,,0.0,0.0,shinv,inv,shinv
126,126,38473,first,1,,,inv,shinv,shinv
127,127,38634,other,,0.0,6.0,inv,shinv,inv
128,128,38751,other,,1.0,5.0,inv,shinv,inv
129,129,38862,other,,2.0,4.0,inv,shinv,inv
130,130,39358,other,,3.0,3.0,inv,shinv,inv
131,131,39523,other,,4.0,2.0,inv,shinv,inv
132,132,39686,other,,5.0,1.0,inv,shinv,inv
133,133,40100,other,,6.0,0.0,inv,shinv,inv
134,134,40282,first,7,,,shinv,inv,inv
135,135,40477,other,,0.0,0.0,shinv,inv,shinv
136,136,40867,first,1,,,inv,norm,shinv
137,137,41038,other,,0.0,12.0,inv,norm,inv
138,138,41217,other,,1.0,11.0,inv,norm,inv
139,139,41676,other,,2.0,10.0,inv,norm,inv
140,140,41815,other,,3.0,9.0,inv,norm,inv
141,141,41955,other,,4.0,8.0,inv,norm,inv
142,142,42303,other,,5.0,7.0,inv,norm,inv
143,143,42438,other,,6.0,6.0,inv,norm,inv
144,144,42572,other,,7.0,5.0,inv,norm,inv
145,145,42710,other,,8.0,4.0,inv,norm,inv
146,146,43226,other,,9.0,3.0,inv,norm,inv
147,147,43365,other,,10.0,2.0,inv,norm,inv
148,148,43504,other,,11.0,1.0,inv,norm,inv
149,149,43642,other,,12.0,0.0,inv,norm,inv
150,150,44063,first,13,,,norm,inv,inv
151,151,44212,other,,0.0,2.0,norm,inv,norm
152,152,44329,other,,1.0,1.0,norm,inv,norm
153,153,44484,other,,2.0,0.0,norm,inv,norm
154,154,44765,first,3,,,inv,norm,norm
155,155,44955,first,0,,,norm,shinv,inv
156,156,45093,other,,0.0,4.0,norm,shinv,norm
157,157,45341,other,,1.0,3.0,norm,shinv,norm
158,158,45477,other,,2.0,2.0,norm,shinv,norm
159,159,45620,other,,3.0,1.0,norm,shinv,norm
160,160,45754,other,,4.0,0.0,norm,shinv,norm
161,161,46289,first,5,,,shinv,norm,norm
162,162,46420,first,0,,,norm,inv,shinv
163,163,46567,other,,0.0,0.0,norm,inv,norm
164,164,46976,first,1,,,inv,shinv,norm
165,165,47104,other,,0.0,1.0,inv,shinv,inv
166,166,47244,other,,1.0,0.0,inv,shinv,inv
167,167,47754,first,2,,,shinv,inv,inv
168,168,47886,other,,0.0,1.0,inv,norm,shinv
169,169,48015,other,,1.0,0.0,inv,norm,inv
170,170,48539,first,2,,,norm,inv,inv
171,171,48676,other,,0.0,0.0,norm,inv,norm
172,172,48812,first,1,,,inv,norm,norm
173,173,49486,other,,0.0,0.0,inv,norm,inv
174,174,49831,first,1,,,norm,shinv,inv
175,175,50102,first,0,,,shinv,shinv,norm
176,176,50693,other,,0.0,7.0,shinv,shinv,shinv
177,177,50836,other,,1.0,6.0,shinv,shinv,shinv
178,178,50938,other,,2.0,5.0,shinv,shinv,shinv
179,179,51329,other,,3.0,4.0,shinv,shinv,shinv
180,180,51476,other,,4.0,3.0,shinv,shinv,shinv
181,181,51612,other,,5.0,2.0,shinv,shinv,shinv
182,182,52043,other,,6.0,1.0,shinv,shinv,shinv
183,183,52187,other,,7.0,0.0,shinv,shinv,shinv
184,184,52327,first,8,,,shinv,inv,shinv
185,185,52465,other,,0.0,0.0,shinv,inv,shinv
186,186,52892,first,1,,,inv,shinv,shinv
187,187,53033,other,,0.0,15.0,inv,shinv,inv
188,188,53252,other,,1.0,14.0,inv,shinv,inv
