,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,420,first,0,,,norm,shinv,
1,1,621,other,,1.0,2.0,norm,shinv,norm
2,2,815,other,,2.0,1.0,norm,shinv,norm
3,3,1166,other,,3.0,0.0,norm,shinv,norm
4,4,1378,first,3,,,shinv,norm,norm
5,5,1563,first,0,,,norm,inv,shinv
6,6,1744,other,,0.0,3.0,norm,inv,norm
7,7,2122,other,,1.0,2.0,norm,inv,norm
8,8,2312,other,,2.0,1.0,norm,inv,norm
9,9,2479,other,,3.0,0.0,norm,inv,norm
10,10,2637,first,4,,,inv,norm,norm
11,11,2950,first,0,,,norm,shinv,inv
12,12,3121,other,,0.0,4.0,norm,shinv,norm
13,13,3289,other,,1.0,3.0,norm,shinv,norm
14,14,3474,other,,2.0,2.0,norm,shinv,norm
15,15,3872,other,,3.0,1.0,norm,shinv,norm
16,16,4040,other,,4.0,0.0,norm,shinv,norm
17,17,4194,first,5,,,shinv,norm,norm
18,18,4404,first,0,,,norm,inv,shinv
19,19,4580,other,,0.0,0.0,norm,inv,norm
20,20,5000,first,1,,,inv,shinv,norm
21,21,5191,other,,0.0,1.0,inv,shinv,inv
22,22,5396,other,,1.0,0.0,inv,shinv,inv
23,23,5606,first,2,,,shinv,inv,inv
24,24,5933,first,0,,,inv,norm,shinv
25,25,6234,other,,0.0,1.0,inv,norm,inv
26,26,6466,other,,1.0,0.0,inv,norm,inv
27,27,6683,first,2,,,norm,inv,inv
28,28,7057,first,0,,,inv,norm,norm
29,29,7253,other,,0.0,2.0,inv,norm,inv
30,30,7428,other,,1.0,1.0,inv,norm,inv
31,31,7611,other,,2.0,0.0,inv,norm,inv
32,32,7941,first,3,,,norm,shinv,inv
33,33,8185,other,,0.0,0.0,shinv,inv,norm
34,34,8573,first,1,,,inv,shinv,shinv
35,35,8891,other,,0.0,5.0,inv,shinv,inv
36,36,9094,other,,1.0,4.0,inv,shinv,inv
37,37,9350,other,,2.0,3.0,inv,shinv,inv
38,38,9543,other,,3.0,2.0,inv,shinv,inv
39,39,9993,other,,4.0,1.0,inv,shinv,inv
40,40,10203,other,,5.0,0.0,inv,shinv,inv
41,41,10434,first,6,,,shinv,inv,inv
42,42,10641,other,,0.0,0.0,shinv,inv,shinv
43,43,11174,first,1,,,inv,shinv,shinv
44,44,11380,first,0,,,shinv,inv,inv
45,45,11562,first,0,,,inv,shinv,shinv
46,46,11917,other,,0.0,7.0,inv,shinv,inv
47,47,12105,other,,1.0,6.0,inv,shinv,inv
48,48,12327,other,,2.0,5.0,inv,shinv,inv
49,49,12534,other,,3.0,4.0,inv,shinv,inv
50,50,12964,other,,4.0,3.0,inv,shinv,inv
51,51,13166,other,,5.0,2.0,inv,shinv,inv
52,52,13356,other,,6.0,1.0,inv,shinv,inv
53,53,13564,other,,7.0,0.0,inv,shinv,inv
54,54,13987,first,8,,,shinv,inv,inv
55,55,14170,first,0,,,inv,shinv,shinv
56,56,14371,other,,0.0,1.0,inv,shinv,inv
57,57,14550,other,,1.0,0.0,inv,shinv,inv
58,58,14939,first,2,,,shinv,inv,inv
59,59,15103,other,,0.0,1.0,shinv,inv,shinv
60,60,15250,other,,1.0,0.0,shinv,inv,shinv
61,61,15428,first,2,,,inv,norm,shinv
62,62,15766,first,0,,,norm,inv,inv
63,63,15926,other,,0.0,0.0,norm,inv,norm
64,64,16105,first,1,,,inv,norm,norm
65,65,16286,other,,0.0,2.0,inv,norm,inv
66,66,16662,other,,1.0,1.0,inv,norm,inv
67,67,16830,other,,2.0,0.0,inv,norm,inv
68,68,16989,first,3,,,norm,shinv,inv
69,69,17146,other,,0.0,0.0,norm,shinv,norm
