,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,174,first,0,,,norm,shinv,
1,1,317,other,,1.0,4.0,norm,shinv,norm
2,2,698,other,,2.0,3.0,norm,shinv,norm
3,3,839,other,,3.0,2.0,norm,shinv,norm
4,4,1070,other,,4.0,1.0,norm,shinv,norm
5,5,1213,other,,5.0,0.0,norm,shinv,norm
6,6,1584,first,5,,,shinv,norm,norm
7,7,1724,other,,0.0,3.0,norm,inv,shinv
8,8,2081,other,,1.0,2.0,norm,inv,norm
9,9,2219,other,,2.0,1.0,norm,inv,norm
10,10,2551,other,,3.0,0.0,norm,inv,norm
11,11,2695,first,4,,,inv,norm,norm
12,12,3015,first,0,,,norm,shinv,inv
13,13,3156,other,,0.0,4.0,norm,shinv,norm
14,14,3449,other,,1.0,3.0,norm,shinv,norm
15,15,3591,other,,2.0,2.0,norm,shinv,norm
16,16,3942,other,,3.0,1.0,norm,shinv,norm
17,17,4087,other,,4.0,0.0,norm,shinv,norm
18,18,4556,first,5,,,shinv,norm,norm
19,19,4694,other,,0.0,0.0,norm,inv,shinv
20,20,5060,first,1,,,inv,shinv,norm
21,21,5198,other,,0.0,0.0,inv,shinv,inv
22,22,5669,first,1,,,shinv,inv,inv
23,23,5807,first,0,,,inv,norm,shinv
24,24,6125,other,,0.0,1.0,inv,norm,inv
25,25,6270,other,,1.0,0.0,inv,norm,inv
26,26,6686,first,2,,,norm,inv,inv
27,27,6829,first,0,,,inv,norm,norm
28,28,7229,other,,0.0,1.0,inv,norm,inv
29,29,7365,other,,1.0,0.0,inv,norm,inv
30,30,7770,first,2,,,norm,shinv,inv
31,31,7909,other,,0.0,0.0,norm,shinv,norm
32,32,8362,first,1,,,shinv,inv,norm
33,33,8503,other,,0.0,6.0,inv,shinv,shinv
34,34,8877,other,,1.0,5.0,inv,shinv,inv
35,35,9012,other,,2.0,4.0,inv,shinv,inv
36,36,9461,other,,3.0,3.0,inv,shinv,inv
37,37,9606,other,,4.0,2.0,inv,shinv,inv
38,38,9920,other,,5.0,1.0,inv,shinv,inv
39,39,10059,other,,6.0,0.0,inv,shinv,inv
40,40,10485,first,7,,,shinv,inv,inv
41,41,10631,other,,0.0,0.0,shinv,inv,shinv
42,42,11008,first,1,,,inv,shinv,shinv
43,43,11152,other,,0.0,0.0,inv,shinv,inv
44,44,11538,first,1,,,shinv,inv,inv
45,45,11673,other,,0.0,5.0,inv,shinv,shinv
46,46,12042,other,,1.0,4.0,inv,shinv,inv
47,47,12177,other,,2.0,3.0,inv,shinv,inv
48,48,12577,other,,3.0,2.0,inv,shinv,inv
49,49,12713,other,,4.0,1.0,inv,shinv,inv
50,50,13141,other,,5.0,0.0,inv,shinv,inv
51,51,13697,first,6,,,shinv,inv,inv
52,52,13829,other,,0.0,0.0,shinv,inv,shinv
53,53,14239,first,1,,,inv,shinv,shinv
54,54,14374,other,,0.0,0.0,inv,shinv,inv
55,55,14745,first,1,,,shinv,inv,inv
56,56,14885,other,,0.0,1.0,shinv,inv,shinv
57,57,15222,other,,1.0,0.0,shinv,inv,shinv
58,58,15445,first,2,,,inv,norm,shinv
59,59,15738,other,,0.0,0.0,inv,norm,inv
60,60,15872,first,1,,,norm,inv,inv
61,61,16159,first,0,,,inv,norm,norm
62,62,16299,other,,0.0,2.0,inv,norm,inv
63,63,16755,other,,1.0,1.0,inv,norm,inv
64,64,16891,other,,2.0,0.0,inv,norm,inv
65,65,17238,first,3,,,norm,shinv,inv
66,66,17371,other,,0.0,0.0,shinv,inv,norm
67,67,17699,first,1,,,inv,shinv,shinv
68,68,17834,other,,0.0,3.0,shinv,norm,inv
69,69,18140,other,,1.0,2.0,shinv,norm,shinv
70,70,18275,other,,2.0,1.0,shinv,norm,shinv
71,71,18599,other,,3.0,0.0,shinv,norm,shinv
72,72,18739,first,4,,,norm,shinv,shinv
73,73,19037,other,,0.0,3.0,norm,shinv,norm
74,74,19177,other,,1.0,2.0,norm,shinv,norm
75,75,19496,other,,2.0,1.0,norm,shinv,norm
76,76,19635,other,,3.0,0.0,norm,shinv,norm
77,77,19982,first,4,,,shinv,norm,norm
78,78,20114,other,,0.0,3.0,norm,inv,shinv
79,79,20432,other,,1.0,2.0,norm,inv,norm
80,80,20569,other,,2.0,1.0,norm,inv,norm
81,81,20914,other,,3.0,0.0,norm,inv,norm
82,82,21057,first,4,,,inv,shinv,norm
83,83,21436,other,,0.0,7.0,inv,shinv,inv
84,84,21568,other,,1.0,6.0,inv,shinv,inv
85,85,21888,other,,2.0,5.0,inv,shinv,inv
86,86,22021,other,,3.0,4.0,inv,shinv,inv
87,87,22372,other,,4.0,3.0,inv,shinv,inv
88,88,22515,other,,5.0,2.0,inv,shinv,inv
89,89,22836,other,,6.0,1.0,inv,shinv,inv
90,90,22969,other,,7.0,0.0,inv,shinv,inv
91,91,23466,first,8,,,shinv,inv,inv
92,92,23607,other,,0.0,2.0,shinv,inv,shinv
93,93,23829,other,,1.0,1.0,shinv,inv,shinv
94,94,24027,other,,2.0,0.0,shinv,inv,shinv
95,95,24246,first,3,,,inv,norm,shinv
96,96,24446,other,,0.0,0.0,inv,norm,inv
97,97,24662,first,1,,,norm,inv,inv
98,98,24797,first,0,,,inv,norm,norm
99,99,25089,other,,0.0,2.0,inv,norm,inv
100,100,25221,other,,1.0,1.0,inv,norm,inv
101,101,25506,other,,2.0,0.0,inv,norm,inv
102,102,25639,first,3,,,norm,shinv,inv
103,103,25925,first,0,,,shinv,inv,norm
104,104,26055,other,,0.0,0.0,shinv,inv,shinv
105,105,26329,first,1,,,inv,shinv,shinv
106,106,26458,first,0,,,shinv,norm,inv
107,107,26752,other,,0.0,3.0,shinv,norm,shinv
108,108,26890,other,,1.0,2.0,shinv,norm,shinv
109,109,27159,other,,2.0,1.0,shinv,norm,shinv
110,110,27286,other,,3.0,0.0,shinv,norm,shinv
111,111,27570,first,4,,,norm,shinv,shinv
112,112,27710,other,,0.0,3.0,norm,shinv,norm
113,113,27984,other,,1.0,2.0,norm,shinv,norm
114,114,28117,other,,2.0,1.0,norm,shinv,norm
115,115,28385,other,,3.0,0.0,norm,shinv,norm
116,116,28523,first,4,,,shinv,norm,norm
117,117,28791,first,0,,,norm,inv,shinv
118,118,28921,other,,0.0,3.0,norm,inv,norm
119,119,29197,other,,1.0,2.0,norm,inv,norm
120,120,29399,other,,2.0,1.0,norm,inv,norm
121,121,29567,other,,3.0,0.0,norm,inv,norm
122,122,29712,first,4,,,inv,norm,norm
123,123,30006,other,,0.0,15.0,inv,norm,inv
124,124,30146,other,,1.0,14.0,inv,norm,inv
125,125,30419,other,,2.0,13.0,inv,norm,inv
126,126,30564,other,,3.0,12.0,inv,norm,inv
127,127,30853,other,,4.0,11.0,inv,norm,inv
128,128,31000,other,,5.0,10.0,inv,norm,inv
129,129,31280,other,,6.0,9.0,inv,norm,inv
130,130,31421,other,,7.0,8.0,inv,norm,inv
131,131,31750,other,,8.0,7.0,inv,norm,inv
132,132,31890,other,,9.0,6.0,inv,norm,inv
133,133,32102,other,,10.0,5.0,inv,norm,inv
134,134,32241,other,,11.0,4.0,inv,norm,inv
135,135,32590,other,,12.0,3.0,inv,norm,inv
136,136,32726,other,,13.0,2.0,inv,norm,inv
137,137,32945,other,,14.0,1.0,inv,norm,inv
138,138,33087,other,,15.0,0.0,inv,norm,inv
139,139,33363,first,16,,,norm,inv,inv
140,140,33509,first,0,,,inv,norm,norm
141,141,33813,other,,0.0,2.0,inv,norm,inv
142,142,33950,other,,1.0,1.0,inv,norm,inv
143,143,34264,other,,2.0,0.0,inv,norm,inv
144,144,34402,first,3,,,norm,shinv,inv
145,145,34758,first,0,,,shinv,shinv,norm
146,146,34963,other,,0.0,7.0,shinv,shinv,shinv
147,147,35332,other,,1.0,6.0,shinv,shinv,shinv
148,148,35468,other,,2.0,5.0,shinv,shinv,shinv
149,149,35813,other,,3.0,4.0,shinv,shinv,shinv
150,150,35954,other,,4.0,3.0,shinv,shinv,shinv
151,151,36297,other,,5.0,2.0,shinv,shinv,shinv
152,152,36433,other,,6.0,1.0,shinv,shinv,shinv
153,153,36745,other,,7.0,0.0,shinv,shinv,shinv
154,154,36895,first,8,,,shinv,inv,shinv
155,155,37176,other,,0.0,1.0,shinv,inv,shinv
156,156,37320,other,,1.0,0.0,shinv,inv,shinv
157,157,37688,first,2,,,inv,shinv,shinv
158,158,37821,other,,0.0,0.0,inv,shinv,inv
159,159,38053,first,1,,,shinv,inv,inv
160,160,38174,first,0,,,inv,shinv,shinv
161,161,38313,other,,0.0,8.0,inv,shinv,inv
162,162,38532,other,,1.0,7.0,inv,shinv,inv
163,163,38732,other,,2.0,6.0,inv,shinv,inv
164,164,38943,other,,3.0,5.0,inv,shinv,inv
165,165,39079,other,,4.0,4.0,inv,shinv,inv
166,166,39364,other,,5.0,3.0,inv,shinv,inv
167,167,39500,other,,6.0,2.0,inv,shinv,inv
168,168,39781,other,,7.0,1.0,inv,shinv,inv
