,keystroke_idx,time,type,prev_keystrokes,keystrokes_since,keystrokes_till,map,nextmap,prev_map
0,0,94,first,0,,,norm,inv,
1,1,224,other,,1.0,5.0,norm,inv,norm
2,2,334,other,,2.0,4.0,norm,inv,norm
3,3,545,other,,3.0,3.0,norm,inv,norm
4,4,655,other,,4.0,2.0,norm,inv,norm
5,5,769,other,,5.0,1.0,norm,inv,norm
6,6,893,other,,6.0,0.0,norm,inv,norm
7,7,1095,first,6,,,inv,norm,norm
8,8,1205,other,,0.0,0.0,inv,norm,inv
9,9,1316,first,1,,,norm,shinv,inv
10,10,1429,other,,0.0,7.0,norm,shinv,norm
11,11,1633,other,,1.0,6.0,norm,shinv,norm
12,12,1742,other,,2.0,5.0,norm,shinv,norm
13,13,1849,other,,3.0,4.0,norm,shinv,norm
14,14,1956,other,,4.0,3.0,norm,shinv,norm
15,15,2301,other,,5.0,2.0,norm,shinv,norm
16,16,2422,other,,6.0,1.0,norm,shinv,norm
17,17,2534,other,,7.0,0.0,norm,shinv,norm
18,18,2757,first,8,,,shinv,norm,norm
19,19,2866,first,0,,,norm,inv,shinv
20,20,2976,other,,0.0,1.0,norm,inv,norm
21,21,3089,other,,1.0,0.0,norm,inv,norm
22,22,3299,first,2,,,inv,shinv,norm
23,23,3517,other,,0.0,2.0,inv,shinv,inv
24,24,3638,other,,1.0,1.0,inv,shinv,inv
25,25,3886,other,,2.0,0.0,inv,shinv,inv
26,26,3996,first,3,,,shinv,inv,inv
27,27,4120,other,,0.0,0.0,shinv,inv,shinv
28,28,4244,first,1,,,inv,norm,shinv
29,29,4506,other,,0.0,3.0,inv,norm,inv
30,30,4624,other,,1.0,2.0,inv,norm,inv
31,31,4752,other,,2.0,1.0,inv,norm,inv
32,32,4880,other,,3.0,0.0,inv,norm,inv
33,33,5114,first,4,,,norm,inv,inv
34,34,5231,other,,0.0,0.0,norm,inv,norm
35,35,5349,first,1,,,inv,norm,norm
36,36,5466,other,,0.0,4.0,inv,norm,inv
37,37,5725,other,,1.0,3.0,inv,norm,inv
38,38,5842,other,,2.0,2.0,inv,norm,inv
39,39,5950,other,,3.0,1.0,inv,norm,inv
40,40,6072,other,,4.0,0.0,inv,norm,inv
41,41,6305,first,5,,,norm,shinv,inv
42,42,6423,first,0,,,shinv,inv,norm
43,43,6538,other,,0.0,1.0,shinv,inv,shinv
44,44,6654,other,,1.0,0.0,shinv,inv,shinv
45,45,6882,first,2,,,inv,shinv,shinv
46,46,6998,other,,0.0,12.0,inv,shinv,inv
47,47,7105,other,,1.0,11.0,inv,shinv,inv
48,48,7219,other,,2.0,10.0,inv,shinv,inv
49,49,7428,other,,3.0,9.0,inv,shinv,inv
50,50,7537,other,,4.0,8.0,inv,shinv,inv
51,51,7649,other,,5.0,7.0,inv,shinv,inv
52,52,7766,other,,6.0,6.0,inv,shinv,inv
53,53,7982,other,,7.0,5.0,inv,shinv,inv
54,54,8092,other,,8.0,4.0,inv,shinv,inv
55,55,8205,other,,9.0,3.0,inv,shinv,inv
56,56,8321,other,,10.0,2.0,inv,shinv,inv
57,57,8532,other,,11.0,1.0,inv,shinv,inv
58,58,8641,other,,12.0,0.0,inv,shinv,inv
59,59,8754,first,13,,,shinv,inv,inv
60,60,8874,other,,0.0,1.0,shinv,inv,shinv
61,61,9091,other,,1.0,0.0,shinv,inv,shinv
62,62,9216,first,2,,,inv,shinv,shinv
63,63,9337,other,,0.0,2.0,inv,shinv,inv
64,64,9449,other,,1.0,1.0,inv,shinv,inv
65,65,9675,other,,2.0,0.0,inv,shinv,inv
66,66,9791,first,3,,,shinv,inv,inv
67,67,9902,other,,0.0,0.0,shinv,inv,shinv
68,68,10019,first,1,,,inv,shinv,shinv
