time,midi_values,map,map_change,epochtype
1.2708333333333333,53,norm,True,first
1.515625,57,norm,False,other
1.7604166666666667,57,norm,False,other
2.015625,55,norm,False,other
3.161458333333333,53,norm,False,other
3.4166666666666665,57,norm,False,other
3.6614583333333335,59,norm,False,other
3.916666666666667,59,norm,False,other
5.140625,59,norm,False,other
5.395833333333333,60,norm,False,other
5.645833333333333,57,norm,False,other
5.906249999999999,59,norm,False,other
7.135416666666665,57,norm,False,other
7.395833333333332,55,norm,False,other
7.671874999999999,53,norm,False,other
7.942708333333332,53,norm,False,other
9.182291666666664,53,norm,False,other
9.432291666666664,57,norm,False,other
9.682291666666664,55,norm,False,other
9.947916666666664,55,norm,False,other
11.177083333333332,55,norm,False,other
11.421874999999998,55,norm,False,other
11.661458333333332,59,norm,False,other
11.911458333333332,57,norm,False,other
13.124999999999998,55,norm,False,other
13.36458333333333,59,norm,False,other
13.63020833333333,60,norm,False,other
13.906249999999996,53,norm,False,other
15.234375,48,inv,True,first
15.473958333333334,52,inv,False,other
15.729166666666666,50,inv,False,other
15.984375,53,inv,False,other
17.22395833333333,53,norm,True,first
17.46354166666666,53,norm,False,other
17.69791666666666,57,norm,False,other
17.942708333333325,57,norm,False,other
19.208333333333325,57,norm,False,other
19.447916666666657,55,norm,False,other
19.697916666666657,60,norm,False,other
19.937499999999993,60,norm,False,other
21.239583333333332,50,shinv,True,first
21.489583333333332,52,shinv,False,other
21.734375,53,shinv,False,other
21.989583333333332,53,shinv,False,other
23.34895833333333,55,norm,True,first
23.604166666666664,53,inv,True,first
23.92708333333333,50,inv,False,other
24.23958333333333,52,inv,False,other
25.562499999999993,53,inv,False,other
25.796874999999993,53,inv,False,other
26.046874999999993,53,inv,False,other
26.296874999999993,53,inv,False,other
27.578124999999993,52,inv,False,other
27.802083333333325,52,inv,False,other
28.052083333333325,52,inv,False,other
28.29687499999999,48,inv,False,other
29.760416666666654,48,inv,False,other
29.999999999999986,50,inv,False,other
30.249999999999986,50,inv,False,other
30.48958333333332,50,inv,False,other
31.73958333333332,50,inv,False,other
31.98437499999999,53,inv,False,other
32.22916666666666,52,inv,False,other
32.49999999999999,55,inv,False,other
34.03645833333333,55,inv,False,other
34.29687499999999,53,inv,False,other
34.52083333333332,53,inv,False,other
34.76562499999999,52,inv,False,other
35.98958333333333,59,norm,True,first
36.21875,52,shinv,True,first
36.453125,52,shinv,False,other
36.708333333333336,50,shinv,False,other
37.96874999999999,48,inv,True,first
38.22916666666666,55,inv,False,other
38.484374999999986,48,inv,False,other
38.749999999999986,55,inv,False,other
39.942708333333314,50,inv,False,other
40.15624999999998,53,inv,False,other
40.40624999999998,50,inv,False,other
40.66666666666665,53,inv,False,other
41.88541666666665,52,inv,False,other
42.124999999999986,55,inv,False,other
42.40104166666665,52,inv,False,other
42.66666666666665,55,inv,False,other
43.79166666666665,50,inv,False,other
44.02083333333332,53,inv,False,other
44.25520833333332,50,inv,False,other
44.499999999999986,52,inv,False,other
45.822916666666664,50,shinv,True,first
46.088541666666664,50,shinv,False,other
46.338541666666664,50,shinv,False,other
46.59895833333333,57,shinv,False,other
47.874999999999986,53,inv,True,first
48.130208333333314,53,inv,False,other
48.380208333333314,53,inv,False,other
48.624999999999986,52,inv,False,other
50.249999999999986,50,inv,False,other
50.51041666666666,50,inv,False,other
50.76041666666666,50,inv,False,other
51.01562499999999,48,inv,False,other
52.39062499999999,53,inv,False,other
52.64062499999999,53,inv,False,other
52.90624999999999,53,inv,False,other
53.16145833333333,52,inv,False,other
54.52083333333333,53,inv,False,other
54.77083333333333,52,inv,False,other
55.026041666666664,53,inv,False,other
55.28645833333333,55,inv,False,other
56.60937499999999,55,inv,False,other
56.84374999999999,53,inv,False,other
57.08854166666666,50,inv,False,other
57.374999999999986,48,inv,False,other
58.57812499999999,53,shinv,True,first
58.822916666666664,53,shinv,False,other
59.078125,55,shinv,False,other
59.31770833333333,52,shinv,False,other
60.60416666666665,48,inv,True,first
60.864583333333314,55,inv,False,other
61.10937499999998,55,inv,False,other
61.34374999999998,50,inv,False,other
62.57812499999999,55,shinv,True,first
62.822916666666664,55,shinv,False,other
63.06249999999999,53,shinv,False,other
63.31249999999999,57,shinv,False,other
64.63020833333333,55,shinv,False,other
64.91666666666667,55,shinv,False,other
65.17708333333331,55,inv,True,first
65.44270833333331,48,inv,False,other
