time,midi_values,map,map_change,epochtype
0.07291666666666666,53,norm,True,first
1.1145833333333333,53,norm,False,other
1.6197916666666665,55,norm,False,other
2.083333333333333,60,norm,False,other
2.5156249999999996,59,norm,False,other
3.7187499999999996,55,norm,False,other
4.151041666666666,57,norm,False,other
4.59375,59,norm,False,other
5.052083333333333,55,norm,False,other
6.25,53,norm,False,other
6.697916666666666,57,norm,False,other
7.135416666666666,55,norm,False,other
7.588541666666666,60,norm,False,other
8.817708333333332,50,shinv,True,first
9.244791666666666,55,norm,True,first
9.692708333333334,57,norm,False,other
10.166666666666668,59,norm,False,other
11.442708333333334,53,norm,False,other
11.90625,55,norm,False,other
12.380208333333332,59,norm,False,other
12.890625,57,norm,False,other
14.182291666666666,60,norm,False,other
14.630208333333334,53,norm,False,other
15.067708333333334,59,norm,False,other
15.541666666666668,57,norm,False,other
16.807291666666668,60,norm,False,other
17.265625,59,norm,False,other
17.739583333333332,57,norm,False,other
18.270833333333332,57,norm,False,other
19.53125,57,shinv,True,first
19.994791666666668,55,shinv,False,other
20.453125,60,norm,True,first
20.9375,60,norm,False,other
22.161458333333332,50,inv,True,first
22.609375,52,inv,False,other
23.098958333333336,55,inv,False,other
23.567708333333336,55,inv,False,other
24.875,55,shinv,True,first
25.328125,53,shinv,False,other
25.80729166666667,53,inv,True,first
26.29166666666667,50,inv,False,other
27.531250000000007,48,inv,False,other
27.97916666666667,50,inv,False,other
28.43229166666667,55,inv,False,other
28.911458333333332,57,norm,True,first
30.239583333333336,53,inv,True,first
30.71875,53,inv,False,other
31.192708333333332,53,inv,False,other
31.697916666666664,50,inv,False,other
33.010416666666664,57,norm,True,first
33.557291666666664,53,norm,False,other
34.078125,57,shinv,True,first
34.64583333333333,55,shinv,False,other
36.046875,48,inv,True,first
36.5,50,inv,False,other
36.96875,50,inv,False,other
37.473958333333336,52,inv,False,other
38.93229166666667,48,inv,False,other
39.411458333333336,53,inv,False,other
39.921875,52,inv,False,other
40.453125,53,inv,False,other
41.72395833333333,55,inv,False,other
42.18749999999999,50,inv,False,other
42.67708333333332,52,inv,False,other
43.14583333333333,52,shinv,True,first
44.41145833333333,57,shinv,False,other
44.901041666666664,50,shinv,False,other
45.40104166666666,50,inv,True,first
