time,midi_values,map,map_change,epochtype
0.0,53,norm,True,first
0.75,57,norm,False,other
1.552083333333333,55,norm,False,other
2.3072916666666665,59,norm,False,other
3.864583333333333,60,norm,False,other
4.640624999999999,60,norm,False,other
5.427083333333332,57,norm,False,other
6.182291666666665,59,norm,False,other
7.557291666666665,53,norm,False,other
8.380208333333332,57,shinv,True,first
9.104166666666664,57,norm,True,first
9.812499999999998,55,norm,False,other
11.291666666666664,57,norm,False,other
12.031249999999996,57,norm,False,other
12.682291666666664,55,norm,False,other
13.302083333333332,55,inv,True,first
14.526041666666664,59,norm,True,first
15.19270833333333,57,norm,False,other
15.84895833333333,60,norm,False,other
16.572916666666664,55,norm,False,other
18.124999999999996,55,norm,False,other
18.781249999999996,55,norm,False,other
19.385416666666664,53,shinv,True,first
20.203124999999996,53,norm,True,first
20.890624999999996,55,norm,False,other
22.53125,50,inv,True,first
23.28125,52,inv,False,other
24.078125,48,inv,False,other
24.89583333333333,52,shinv,True,first
26.177083333333332,55,inv,True,first
27.354166666666668,52,inv,False,other
28.260416666666668,53,inv,False,other
29.109374999999993,53,norm,True,first
30.567708333333332,50,inv,True,first
31.333333333333332,53,inv,False,other
32.015625,52,inv,False,other
32.734375,53,inv,False,other
34.02083333333333,50,shinv,True,first
34.97395833333333,52,shinv,False,other
35.739583333333336,52,inv,True,first
36.489583333333336,53,inv,False,other
37.73437500000001,55,inv,False,other
38.52604166666667,48,inv,False,other
39.52604166666667,52,inv,False,other
40.28125000000001,53,inv,False,other
42.036458333333336,50,inv,False,other
42.859375,52,inv,False,other
43.76041666666666,55,shinv,True,first
44.56770833333332,57,shinv,False,other
45.854166666666664,48,inv,True,first
46.651041666666664,52,inv,False,other
47.45833333333332,55,shinv,True,first
48.166666666666664,50,inv,True,first
49.557291666666664,55,inv,False,other
50.286458333333336,55,inv,False,other
51.15625000000001,52,inv,False,other
51.96354166666667,53,inv,False,other
53.64062500000001,48,inv,False,other
54.43229166666667,52,inv,False,other
